time/time_elapsed,time/fps,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
2521,51,0.012679306790232658,129240,0.060412004590034485,0.37542301416397095,24.728399419999995,-4.873584747314453,160,0.0003,646.22,129341
2553,51,0.012657124549150467,130881,5.440853595733643,0.33410510420799255,31.40282509,-7.502366065979004,164,0.0003,620.82,130982
2584,51,0.01254432275891304,132499,0.04659397155046463,0.5590685606002808,35.604245129999995,-8.154661178588867,168,0.0003,600.61,132600
2620,51,0.012505180202424526,134345,0.15175166726112366,-0.427927166223526,38.88235405,-5.972750663757324,172,0.0003,577.46,134446
2653,51,0.014026449993252754,136122,0.06157005578279495,-0.6341406106948853,43.41171502,-5.648172378540039,176,0.0003,569.23,136223
2684,51,0.01468480471521616,137699,2.6294748783111572,-0.2196013629436493,46.62752905,-9.20362377166748,180,0.0003,549.47,137800
2720,51,0.01566089317202568,139573,0.08784283697605133,-0.35755980014801025,51.21973381,-8.068300247192383,184,0.0003,540.19,139674
2759,51,0.01341523602604866,141599,0.42956191301345825,-0.7404016256332397,56.20386456999999,-7.291103363037109,188,0.0003,533.0,141700
2802,51,0.01414076890796423,143760,0.05391567200422287,-0.14519862830638885,58.081315970000006,-7.706734657287598,192,0.0003,528.61,143861
2836,51,0.01424173079431057,145499,0.19776290655136108,0.4637502431869507,60.23890625,-8.549023628234863,196,0.0003,520.0,145600
2883,51,0.015832122415304184,148011,0.06661467999219894,1.8339815139770508,66.3093317,-7.57698917388916,200,0.0003,525.21,148112
2923,51,0.0156956035643816,150101,0.15241150557994843,-0.03905200958251953,69.91935799999999,-9.263030052185059,204,0.0003,518.08,150202
2972,51,0.01535263191908598,152671,0.3088045120239258,-0.0589672327041626,77.96818853999999,-9.000051498413086,208,0.0003,515.28,152772
3019,51,0.01600869745016098,155225,0.06536415964365005,-0.692355751991272,85.9227274,-10.4813814163208,212,0.0003,517.69,155326
3057,51,0.018163202330470085,157199,0.06773900240659714,-0.3670233488082886,89.79105224000003,-8.822881698608398,216,0.0003,510.46,157300
3097,51,0.01860288716852665,159148,0.0781274065375328,0.27797931432724,95.55656224000002,-9.552841186523438,220,0.0003,503.73,159249
3135,51,0.01887507550418377,161099,0.12322381883859634,0.33941909670829773,101.28276538,-11.210039138793945,224,0.0003,501.71,161200
3172,51,0.020523857325315475,162995,0.06056330353021622,-0.19466213881969452,107.30001748999999,-11.008782386779785,228,0.0003,499.96,163096
3209,51,0.021720854565501213,164997,0.08673173189163208,0.4445309042930603,112.61626287000003,-12.992549896240234,232,0.0003,500.36,165098
3235,51,0.02122923918068409,166299,0.37666499614715576,0.4079491198062897,112.35088275,-13.452165603637695,236,0.0003,487.12,166400
3270,51,0.021138310432434082,168111,0.0793614536523819,-0.2503112554550171,116.36188835000002,-12.382210731506348,240,0.0003,486.12,168212
3308,51,0.01955830492079258,170116,0.8955379724502563,0.376051664352417,120.8200985,-13.631528854370117,244,0.0003,481.78,170217
3346,51,0.019750315696001053,172101,0.08506529033184052,-0.46594667434692383,125.02272092,-14.702610969543457,248,0.0003,487.02,172202
3384,51,0.020629510283470154,173919,0.35088109970092773,-0.08209103345870972,127.31851232999999,-12.861892700195312,252,0.0003,484.99,174020
3413,51,0.02259829081594944,175399,0.06555292010307312,0.16679713129997253,128.61516734,-15.859301567077637,256,0.0003,481.0,175500
3449,51,0.022266307845711708,177319,0.06227753683924675,-0.2363438606262207,133.52555949,-13.878544807434082,260,0.0003,480.79,177420
3483,51,0.021269870921969414,179070,0.08515863865613937,-0.4334180951118469,138.24846527,-13.376779556274414,264,0.0003,481.89,179171
3513,51,0.020488636568188667,180599,0.09515409171581268,-0.04798278212547302,140.06923274,-16.380325317382812,268,0.0003,481.0,180700
3560,51,0.020348869264125824,183097,2.671168565750122,-0.34629231691360474,147.65759789000003,-16.29247283935547,272,0.0003,487.52,183198
3588,51,0.019918568432331085,184499,0.07424177974462509,-0.4622303247451782,148.7176257,-15.81200122833252,276,0.0003,483.77,184600
3624,51,0.02045823074877262,186392,0.10220593214035034,-0.17146053910255432,154.65059811999998,-15.991281509399414,280,0.0003,486.93,186493
3658,51,0.023208269849419594,188150,0.07873912155628204,-0.5452145338058472,158.22590448999998,-17.892061233520508,284,0.0003,485.77,188251
3688,51,0.023507919162511826,189699,1.9747681617736816,-0.1997838020324707,160.04702629000002,-18.096656799316406,288,0.0003,481.0,189800
3724,51,0.02422422729432583,191591,0.45575615763664246,0.2834349572658539,166.9401414,-17.064193725585938,292,0.0003,478.31,191692
3761,51,0.02397693134844303,193533,0.08815012872219086,0.12963688373565674,172.49187490000003,-21.03497886657715,296,0.0003,480.34,193634
3788,51,0.024436529725790024,194899,0.08743440359830856,-0.4333314001560211,171.03491645000003,-18.574337005615234,300,0.0003,468.88,195000
3824,51,0.023847870528697968,196816,0.13634704053401947,0.5886577367782593,174.70028433000004,-19.340679168701172,304,0.0003,467.15,196917
3863,51,0.02355342172086239,198799,4.473845958709717,0.1770496666431427,175.81861284,-18.73360252380371,308,0.0003,461.28,198900
3912,51,0.026586536318063736,201399,0.09030131250619888,-0.2941693961620331,180.60196618,-19.379562377929688,312,0.0003,461.74,201500
3961,51,0.02532861940562725,203999,0.09019774198532104,-0.23527055978775024,187.62556220000002,-18.54277801513672,316,0.0003,468.0,204100
4010,51,0.024607796221971512,206599,0.09195704758167267,0.9461679458618164,191.86587433,-24.697280883789062,320,0.0003,474.51,206700
4048,51,0.025096559897065163,208591,2.9320735931396484,-0.6555672287940979,195.50105185999996,-22.408161163330078,324,0.0003,474.92,208692
4096,51,0.023543130606412888,211125,0.09655483067035675,-0.16733935475349426,201.12225862999995,-23.14704132080078,328,0.0003,481.3,211226
4148,51,0.02676667645573616,213849,0.10922837257385254,1.3192024230957031,208.56757263999995,-21.812715530395508,332,0.0003,488.52,213950
4183,51,0.026059553027153015,215699,0.10581992566585541,-0.4806397557258606,212.58001465,-21.933204650878906,336,0.0003,494.0,215800
4220,51,0.028614351525902748,217597,0.09308412671089172,-0.30100786685943604,216.64886546000002,-25.195144653320312,340,0.0003,494.86,217698
4258,51,0.027438005432486534,219599,0.16591940820217133,0.33745527267456055,219.31700974,-23.99657440185547,344,0.0003,494.83,219700
4307,51,0.02728179655969143,222152,0.1286180168390274,0.2338784635066986,227.99354060999997,-24.236469268798828,348,0.0003,500.51,222253
4333,51,0.026680145412683487,223499,0.09004074335098267,-0.5237559080123901,229.28860951000001,-25.677997589111328,352,0.0003,495.8,223600
4382,51,0.027981659397482872,226099,6.536015510559082,0.4891875684261322,239.33672939999997,-26.79285430908203,356,0.0003,507.0,226200
4420,51,0.028099488466978073,228056,0.08200711011886597,0.11928200721740723,241.71567041000003,-23.779592514038086,360,0.0003,507.37,228157
4471,51,0.026957975700497627,230745,0.10470785200595856,-0.7396520376205444,251.19397849,-26.405906677246094,364,0.0003,516.75,230846
4518,51,0.025656459853053093,233265,0.08063799887895584,-0.82095867395401,261.81559278,-25.82707977294922,368,0.0003,526.66,233366
4571,51,0.028836803510785103,236082,0.11136597394943237,0.610443651676178,267.78062622000004,-28.38821792602539,372,0.0003,529.85,236183
4622,51,0.02841137908399105,238629,0.11577204614877701,-0.5364070534706116,277.08539422999996,-24.770856857299805,376,0.0003,541.3,238730
4669,51,0.027329817414283752,241123,0.12033067643642426,-0.4142259955406189,280.94566143,-31.566150665283203,380,0.0003,547.31,241224
4720,51,0.026505649089813232,243750,0.08169536292552948,0.15432152152061462,288.05901935,-24.599889755249023,384,0.0003,556.0,243851
4767,51,0.027850337326526642,246301,0.459432989358902,0.29741472005844116,297.13415569,-24.264129638671875,388,0.0003,566.02,246402
4818,51,0.02940979413688183,249028,0.2041684091091156,0.00544343888759613,305.52685363999996,-30.42954444885254,392,0.0003,574.37,249129
4867,51,0.0293336883187294,251591,1.6298208236694336,0.13078632950782776,312.05929785000006,-31.1502742767334,396,0.0003,580.58,251692
4916,51,0.02900991030037403,254076,0.13397973775863647,0.1479487419128418,322.27716288000005,-31.340538024902344,400,0.0003,591.77,254177
4966,51,0.03044871799647808,256686,0.14557790756225586,0.6832358241081238,329.13601178,-32.04587936401367,404,0.0003,598.7,256787
5014,51,0.031052982434630394,259267,0.141912579536438,0.09274956583976746,336.64432183,-28.8076171875,408,0.0003,604.68,259368
5064,51,0.03134126216173172,261920,0.2857077121734619,-0.4433581829071045,340.58947647,-28.138172149658203,412,0.0003,605.21,262021
