train/learning_rate,time/fps,time/total_timesteps,train/actor_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,rollout/ep_len_mean
0.0003,46,40779,-6.43109655380249,-0.48995542526245117,40678,-9.05195108,0.019831903278827667,184,0.3325713872909546,875,148.47
0.0003,46,41600,-8.117119789123535,0.289226233959198,41499,-7.897469349999999,0.01966196298599243,188,0.4268558621406555,893,151.67
0.0003,46,42285,-6.154743194580078,0.8915127515792847,42184,-7.550271769999999,0.01959504373371601,192,0.3760312795639038,909,153.3
0.0003,46,42895,-5.633448123931885,-0.1057066023349762,42794,-7.246144579999999,0.019665634259581566,196,0.2774285674095154,924,154.53
0.0003,46,43348,-7.064479351043701,0.9715293049812317,43247,-6.862568540000001,0.020048389211297035,200,0.37769728899002075,935,153.66
0.0003,46,44028,-5.099318027496338,0.22394028306007385,43927,-6.60863294,0.01979915425181389,204,0.2816477417945862,951,155.07
0.0003,46,44639,-7.819862365722656,-0.09772780537605286,44538,-6.355606600000001,0.020403120666742325,208,0.3433796167373657,965,156.38
0.0003,46,45500,-6.061058521270752,0.03924459218978882,45399,-6.129761090000001,0.020578088238835335,212,0.45411717891693115,984,159.73
0.0003,46,46053,-6.195021629333496,-0.42895445227622986,45952,-6.155334539999999,0.02123449556529522,216,0.412736713886261,997,160.18
0.0003,46,46501,-5.50975227355957,-0.18560640513896942,46400,-5.965749320000001,0.02162698097527027,220,0.5501819252967834,1007,159.23
0.0003,46,46931,-7.589197635650635,-0.7467218637466431,46830,-5.798878420000002,0.02184033952653408,224,0.5925024151802063,1020,157.43
0.0003,45,47476,-7.592332363128662,0.18089798092842102,47375,-5.7755238800000015,0.022577976807951927,228,1.3800472021102905,1036,158.61
0.0003,45,48094,-7.0726470947265625,0.44487547874450684,47993,-5.651907730000001,0.022854464128613472,232,0.49121564626693726,1054,159.28
0.0003,45,48604,-5.782961845397949,-0.42712563276290894,48503,-5.662365449999999,0.022974442690610886,236,0.4759295582771301,1067,159.68
0.0003,45,49400,-6.64240837097168,-0.7515368461608887,49299,-4.88987256,0.022739270702004433,240,0.45732346177101135,1084,162.34
0.0003,45,50557,-7.378735542297363,-0.1600879728794098,50456,-2.9770439799999995,0.022405516356229782,244,0.3455682098865509,1106,166.26
0.0003,45,51469,-8.672101974487305,-0.8131982088088989,51368,-1.9496063599999998,0.022435402497649193,248,0.739343523979187,1125,168.69
0.0003,45,53010,-9.717144012451172,-0.16865849494934082,52909,0.42431900999999983,0.02120155282318592,252,0.6848993897438049,1155,179.1
0.0003,46,54444,-8.919659614562988,0.9324942231178284,54343,2.50667937,0.0215911902487278,256,0.7714723348617554,1183,186.1
0.0003,46,55549,-8.196037292480469,-1.0978612899780273,55448,4.26300175,0.023661483079195023,260,0.5151973962783813,1205,191.49
0.0003,46,56765,-11.522939682006836,1.077876091003418,56664,6.547452410000001,0.025569520890712738,264,1.0595149993896484,1229,197.74
0.0003,46,57885,-15.09150505065918,0.4030337929725647,57784,8.408500860000002,0.02747148834168911,268,0.7519794702529907,1251,201.85
0.0003,46,58778,-11.361114501953125,-0.594103991985321,58677,10.34501256,0.02683597430586815,272,0.699061393737793,1270,202.71
0.0003,46,59800,-13.757657051086426,0.5755510926246643,59699,12.609497760000002,0.02817322127521038,276,15.590421676635742,1290,206.29
0.0003,46,60982,-13.700965881347656,0.22556480765342712,60881,15.075771580000001,0.02840748429298401,280,0.7914905548095703,1316,210.36
0.0003,46,61934,-12.359415054321289,-0.1220860481262207,61833,16.7646486,0.02927807718515396,284,0.7681616544723511,1335,211.55
0.0003,46,63096,-15.385581970214844,-0.45439818501472473,62995,17.848963570000002,0.028608078137040138,288,0.7690122127532959,1358,214.96
0.0003,46,64341,-13.374227523803711,0.6702945828437805,64240,19.79324014,0.02909289486706257,292,0.5723451375961304,1383,220.56
0.0003,46,65323,-14.912273406982422,1.264652967453003,65222,21.74801652,0.032041192054748535,296,0.5990092158317566,1402,224.28
0.0003,46,66300,-11.957063674926758,-0.14067794382572174,66199,23.641124249999997,0.03078375943005085,300,0.5793581604957581,1422,229.52
0.0003,46,67563,-13.597225189208984,-0.8088446855545044,67462,26.309478580000004,0.029342852532863617,304,0.507093071937561,1447,235.35
0.0003,46,68691,-16.54865837097168,0.455422043800354,68590,28.929075510000004,0.029357917606830597,308,0.5974881052970886,1470,240.52
0.0003,46,70200,-17.456581115722656,0.6672658324241638,70099,32.56775031,0.029221652075648308,312,0.6494512557983398,1499,247.0
0.0003,46,71500,-15.348299026489258,0.4487227201461792,71399,35.850953569999994,0.028817923739552498,316,1.0029852390289307,1525,254.47
0.0003,46,73283,-15.767925262451172,-0.49221453070640564,73182,39.78339619,0.02789258025586605,320,0.494559645652771,1559,267.82
0.0003,47,74572,-17.217967987060547,0.640738844871521,74471,42.69479772999999,0.027950022369623184,324,0.4791434705257416,1584,276.41
0.0003,47,75775,-16.171384811401367,0.1397572159767151,75674,45.211544319999994,0.026939433068037033,328,7.0577592849731445,1608,282.99
0.0003,47,77035,-15.736042022705078,-0.21404285728931427,76934,48.361769640000006,0.026980958878993988,332,0.43621742725372314,1633,289.41
0.0003,47,78311,-17.15081787109375,0.17552289366722107,78210,51.598957979999994,0.02758168987929821,336,1.5875310897827148,1658,297.07
0.0003,47,79616,-17.061946868896484,0.5653318762779236,79515,54.42974035000001,0.02715575136244297,340,1.3296070098876953,1684,302.16
0.0003,47,80962,-17.75192642211914,-0.3333720564842224,80861,56.77790024,0.027927502989768982,344,10.641416549682617,1710,304.05
