Env,ground_speed
0.0,32.47846
0.0,32.451466
0.0,32.425278
0.0,32.399925
0.0,32.375458
0.0,32.35188
0.0,32.329212
0.0,32.30745
0.0,32.2866
0.0,32.266632
0.0,32.247536
0.0,32.22927
0.0,32.211803
0.0,32.1951
0.0,32.179104
0.0,32.16377
0.0,32.149048
0.0,32.134876
0.0,32.12121
0.0,32.107983
0.0,32.095146
0.0,32.082657
0.0,32.07045
0.0,32.058483
0.0,32.046715
0.0,32.035095
0.0,32.023594
0.0,32.012173
0.0,32.0008
0.0,31.989456
0.0,31.978115
0.0,31.96676
0.0,31.955383
0.0,31.943972
0.0,31.932522
0.0,31.921032
0.0,31.90951
0.0,31.897953
0.0,31.886375
0.0,31.874786
0.0,31.863197
0.0,31.851622
0.0,31.84007
0.0,31.828566
0.0,31.81712
0.0,31.805744
0.0,31.794455
0.0,31.783264
0.0,31.77218
0.0,31.761219
0.0,31.750387
0.0,31.739683
0.0,31.729116
0.0,31.718687
0.0,31.708393
0.0,31.69823
0.0,31.688196
0.0,31.678278
0.0,31.668467
0.0,31.65875
0.0,31.649115
0.0,31.639547
0.0,31.630026
0.0,31.620537
0.0,31.61106
0.0,31.601574
0.0,31.592062
0.0,31.582504
0.0,31.572882
0.0,31.563175
0.0,31.55337
0.0,31.543447
0.0,31.533392
0.0,31.523195
0.0,31.512842
0.0,31.502323
0.0,31.491632
0.0,31.480764
0.0,31.469715
0.0,31.458483
0.0,31.447067
0.0,31.435478
0.0,31.423717
0.0,31.41179
0.0,31.39971
0.0,31.387482
0.0,31.37512
0.0,31.362642
0.0,31.35006
0.0,31.337389
0.0,31.324648
0.0,31.311848
0.0,31.299011
0.0,31.28615
0.0,31.273285
0.0,31.260431
0.0,31.247604
0.0,31.23482
0.0,31.22209
0.0,31.209429
0.0,31.196848
0.0,31.184355
0.0,31.17196
0.0,31.159674
0.0,31.147497
0.0,31.135439
0.0,31.123497
0.0,31.111677
0.0,31.099976
0.0,31.088394
0.0,31.07693
0.0,31.065577
