Env,roll,pitch,yaw
0.0,0.12760901,-0.05532912,-0.50964284
0.0,0.1310377,-0.055172566,-0.51214015
0.0,0.13438852,-0.054972015,-0.5146341
0.0,0.1376588,-0.05472924,-0.5171181
0.0,0.14084588,-0.054446135,-0.5195861
0.0,0.14394702,-0.054124918,-0.5220317
0.0,0.14695956,-0.053767983,-0.5244487
0.0,0.1498808,-0.053377964,-0.5268309
0.0,0.15270859,-0.052957557,-0.5291723
0.0,0.15544131,-0.05250959,-0.53146696
0.0,0.15807779,-0.052036934,-0.5337089
0.0,0.16061729,-0.051542554,-0.53589237
0.0,0.16305941,-0.05102941,-0.5380119
0.0,0.16540399,-0.050500587,-0.5400621
0.0,0.16765109,-0.049959145,-0.5420379
0.0,0.16980106,-0.04940822,-0.5439343
0.0,0.1718544,-0.04885092,-0.5457467
0.0,0.17381178,-0.04829036,-0.5474707
0.0,0.17567404,-0.04772963,-0.5491023
0.0,0.1774421,-0.047171794,-0.5506377
0.0,0.17911704,-0.0466198,-0.5520736
0.0,0.18070008,-0.046076536,-0.55340683
0.0,0.18219246,-0.045544744,-0.55463487
0.0,0.18359561,-0.04502704,-0.55575526
0.0,0.18491097,-0.044525895,-0.55676603
0.0,0.18614013,-0.04404364,-0.5576657
0.0,0.18728492,-0.043582566,-0.55845326
0.0,0.18834718,-0.04314481,-0.55912805
0.0,0.1893289,-0.042732317,-0.55968976
0.0,0.19023214,-0.042346906,-0.5601387
0.0,0.19105901,-0.041990075,-0.56047535
0.0,0.19181165,-0.041663103,-0.5607007
0.0,0.19249213,-0.04136694,-0.56081593
0.0,0.19310257,-0.041102204,-0.56082255
0.0,0.19364515,-0.04086917,-0.56072223
0.0,0.19412182,-0.04066775,-0.5605171
0.0,0.19453473,-0.04049746,-0.5602093
0.0,0.19488578,-0.0403575,-0.55980104
0.0,0.19517699,-0.040246632,-0.5592951
0.0,0.19541027,-0.040163293,-0.55869395
0.0,0.19558746,-0.040105514,-0.5580004
0.0,0.19571047,-0.04007097,-0.55721724
0.0,0.19578102,-0.04005703,-0.5563474
0.0,0.19580099,-0.040060677,-0.55539393
0.0,0.1957721,-0.04007865,-0.55435973
0.0,0.19569615,-0.040107433,-0.55324787
0.0,0.19557486,-0.040143188,-0.5520614
0.0,0.19541015,-0.040182024,-0.5508034
0.0,0.1952037,-0.040219966,-0.54947716
0.0,0.19495748,-0.04025302,-0.5480861
0.0,0.19467333,-0.040277243,-0.5466337
0.0,0.1943532,-0.040288758,-0.54512346
0.0,0.193999,-0.040283687,-0.543559
0.0,0.19361283,-0.040258337,-0.5419443
0.0,0.19319664,-0.04020909,-0.54028314
0.0,0.19275248,-0.04013251,-0.5385793
0.0,0.19228253,-0.040025506,-0.5368369
0.0,0.19178903,-0.039885286,-0.53506047
0.0,0.19127429,-0.039709546,-0.53325427
0.0,0.19074081,-0.0394963,-0.5314231
0.0,0.19019097,-0.039243918,-0.52957153
0.0,0.18962726,-0.038951065,-0.5277045
0.0,0.18905208,-0.038616773,-0.52582663
0.0,0.18846785,-0.03824034,-0.5239429
0.0,0.18787687,-0.0378214,-0.52205807
0.0,0.18728136,-0.037359823,-0.5201769
0.0,0.18668337,-0.03685579,-0.51830393
0.0,0.1860849,-0.03630971,-0.51644385
0.0,0.18548764,-0.035722252,-0.514601
0.0,0.18489334,-0.03509432,-0.5127797
0.0,0.18430345,-0.034427047,-0.5109841
0.0,0.18371928,-0.03372184,-0.5092181
0.0,0.18314195,-0.03298019,-0.50748533
0.0,0.18257253,-0.032203827,-0.50578946
0.0,0.18201183,-0.03139466,-0.50413364
0.0,0.18146053,-0.030554727,-0.50252104
0.0,0.18091927,-0.029686185,-0.5009544
0.0,0.18038838,-0.028791336,-0.4994363
0.0,0.17986827,-0.02787254,-0.49796897
0.0,0.17935902,-0.02693225,-0.49655446
0.0,0.17886081,-0.02597299,-0.49519452
0.0,0.17837355,-0.024997339,-0.49389058
0.0,0.17789727,-0.024007848,-0.49264383
0.0,0.17743173,-0.023007043,-0.4914552
0.0,0.17697681,-0.021997524,-0.4903253
0.0,0.17653227,-0.020981792,-0.4892544
0.0,0.17609774,-0.019962268,-0.4882427
0.0,0.17567289,-0.01894135,-0.48728973
0.0,0.17525731,-0.017921286,-0.48639518
0.0,0.17485052,-0.016904285,-0.48555812
0.0,0.1744521,-0.015892422,-0.48477754
0.0,0.17406152,-0.014887639,-0.4840522
0.0,0.1736783,-0.013891869,-0.48338056
0.0,0.1733019,-0.012906839,-0.48276082
0.0,0.17293186,-0.011934259,-0.48219123
0.0,0.17256768,-0.010975713,-0.4816695
0.0,0.1722089,-0.010032643,-0.48119336
0.0,0.17185512,-0.009106401,-0.48076048
