Env,air_speed
0.0,32.378086
0.0,32.356117
0.0,32.334984
0.0,32.314697
0.0,32.295254
0.0,32.276646
0.0,32.258846
0.0,32.241825
0.0,32.225555
0.0,32.209995
0.0,32.195103
0.0,32.18082
0.0,32.167114
0.0,32.15391
0.0,32.14118
0.0,32.12885
0.0,32.11688
0.0,32.105217
0.0,32.09381
0.0,32.08262
0.0,32.07159
0.0,32.060688
0.0,32.04988
0.0,32.039135
0.0,32.028416
0.0,32.0177
0.0,32.006977
0.0,31.996222
0.0,31.985428
0.0,31.974586
0.0,31.963696
0.0,31.952757
0.0,31.941774
0.0,31.93075
0.0,31.919699
0.0,31.90863
0.0,31.897558
0.0,31.886496
0.0,31.875458
0.0,31.864466
0.0,31.85353
0.0,31.842669
0.0,31.831896
0.0,31.821224
0.0,31.810665
0.0,31.800234
0.0,31.789934
0.0,31.779774
0.0,31.769754
0.0,31.759884
0.0,31.750156
0.0,31.74057
0.0,31.731121
0.0,31.7218
0.0,31.712597
0.0,31.7035
0.0,31.6945
0.0,31.685577
0.0,31.676714
0.0,31.667898
0.0,31.659107
0.0,31.650322
0.0,31.641525
0.0,31.632696
0.0,31.623821
0.0,31.614874
0.0,31.605844
0.0,31.596712
0.0,31.587465
0.0,31.578089
0.0,31.568575
0.0,31.55891
0.0,31.549088
0.0,31.539104
0.0,31.528954
0.0,31.518635
0.0,31.508152
0.0,31.497507
0.0,31.486704
0.0,31.47575
0.0,31.464657
0.0,31.453428
0.0,31.442081
0.0,31.43063
0.0,31.419086
0.0,31.407467
0.0,31.395786
0.0,31.38406
0.0,31.372307
0.0,31.36054
0.0,31.34878
0.0,31.337038
0.0,31.325335
0.0,31.313679
0.0,31.302088
0.0,31.290571
0.0,31.279142
0.0,31.267807
0.0,31.256577
0.0,31.24546
0.0,31.234459
0.0,31.22358
0.0,31.21282
0.0,31.202187
0.0,31.191675
0.0,31.181286
0.0,31.171017
0.0,31.160864
0.0,31.15082
0.0,31.140879
0.0,31.131037
0.0,31.121284
0.0,31.111616
0.0,31.10202
0.0,31.092493
0.0,31.083025
0.0,31.073608
0.0,31.064232
0.0,31.054893
0.0,31.045582
0.0,31.036295
0.0,31.027023
0.0,31.017761
0.0,31.008507
0.0,30.999256
0.0,30.990004
0.0,30.980751
0.0,30.971493
0.0,30.962229
0.0,30.952961
0.0,30.94369
0.0,30.934418
0.0,30.925144
0.0,30.915873
0.0,30.906605
0.0,30.897346
0.0,30.8881
0.0,30.878866
0.0,30.86965
0.0,30.860458
0.0,30.85129
0.0,30.842152
0.0,30.833044
0.0,30.823975
0.0,30.814938
0.0,30.805943
0.0,30.79699
0.0,30.788074
