Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,0.0,0.0,9.503563,0.027531791,-0.13744372,-0.6681875,0.7306687,7.564341,32.165054,-5.1357546,-0.0751457,-1.324836,-0.39098197
0.0,0.0,0.0,9.452206,0.03141401,-0.14258526,-0.6693658,0.72844493,7.5292726,32.161755,-5.1887727,-0.06937507,-1.3097943,-0.41325763
0.0,0.0,0.0,9.400318,0.035249535,-0.14764944,-0.67059994,0.7261218,7.4941416,32.15935,-5.2401958,-0.06352979,-1.2942063,-0.43474156
0.0,0.0,0.0,9.347917,0.039036497,-0.15263426,-0.67188764,0.7237029,7.459085,32.157856,-5.290179,-0.057595104,-1.27806,-0.45533365
0.0,0.0,0.0,9.295014,0.042773172,-0.15753768,-0.67322636,0.72119254,7.4242387,32.157272,-5.3388557,-0.051564064,-1.2613461,-0.47493744
0.0,0.0,0.0,9.241626,0.04645793,-0.1623575,-0.67461324,0.7185949,7.3897347,32.1576,-5.3863344,-0.045436118,-1.2440561,-0.49346113
0.0,0.0,0.0,9.187762,0.050089262,-0.16709152,-0.6760453,0.7159151,7.355702,32.15883,-5.4327016,-0.039215744,-1.226181,-0.51081765
0.0,0.0,0.0,9.133435,0.053665705,-0.17173743,-0.67751896,0.7131581,7.322263,32.160934,-5.478022,-0.03290698,-1.2077208,-0.5269221
0.0,0.0,0.0,9.078655,0.057185933,-0.17629294,-0.67903084,0.7103294,7.289532,32.163883,-5.5223417,-0.026510885,-1.1886836,-0.5416912
0.0,0.0,0.0,9.023432,0.060648758,-0.18075575,-0.68057686,0.7074349,7.2576175,32.16763,-5.5656853,-0.020034706,-1.169071,-0.5550484
0.0,0.0,0.0,8.967775,0.06405313,-0.1851236,-0.6821533,0.7044809,7.226613,32.172127,-5.6080537,-0.013492025,-1.1488773,-0.56692517
0.0,0.0,0.0,8.911695,0.06739803,-0.1893941,-0.68375576,0.7014738,7.1966014,32.177315,-5.6494274,-0.006903654,-1.1280924,-0.577261
0.0,0.0,0.0,8.8552,0.07068244,-0.193565,-0.68538004,0.6984203,7.167652,32.183125,-5.6897693,-0.00029485812,-1.1067026,-0.58600307
0.0,0.0,0.0,8.798302,0.07390537,-0.19763394,-0.6870215,0.69532746,7.1398215,32.189484,-5.7290254,0.0063046003,-1.0846905,-0.5931064
0.0,0.0,0.0,8.741012,0.07706576,-0.20159867,-0.6886758,0.6922026,7.1131506,32.196312,-5.7671285,0.012863065,-1.0620372,-0.5985331
0.0,0.0,0.0,8.68334,0.080162466,-0.20545693,-0.69033825,0.68905336,7.0876684,32.203526,-5.8040004,0.019346526,-1.0387245,-0.60225224
0.0,0.0,0.0,8.6253,0.08319429,-0.20920645,-0.69200426,0.6858874,7.063387,32.211033,-5.839551,0.025718158,-1.014738,-0.60424036
0.0,0.0,0.0,8.566905,0.08615995,-0.21284507,-0.69366914,0.68271273,7.0403056,32.218746,-5.873687,0.031941004,-0.9900606,-0.604481
0.0,0.0,0.0,8.508168,0.08905805,-0.21637067,-0.6953283,0.6795373,7.0184093,32.226566,-5.9063067,0.03797689,-0.9646742,-0.6029658
0.0,0.0,0.0,8.449105,0.0918871,-0.21978123,-0.6969772,0.6763695,6.9976687,32.2344,-5.937306,0.043787297,-0.9385595,-0.59969383
0.0,0.0,0.0,8.389732,0.09464548,-0.22307476,-0.6986113,0.6732177,6.9780416,32.24216,-5.9665785,0.04933477,-0.9117049,-0.5946703
0.0,0.0,0.0,8.330067,0.097331464,-0.2262494,-0.70022625,0.6700904,6.9594765,32.24975,-5.994028,0.054598276,-0.8842369,-0.5878753
0.0,0.0,0.0,8.270126,0.09994377,-0.22930367,-0.7018174,0.6669958,6.9419107,32.257065,-6.0195594,0.05956005,-0.85630757,-0.5792892
0.0,0.0,0.0,8.20993,0.102481715,-0.23223679,-0.7033802,0.6639426,6.9252653,32.26403,-6.0430703,0.06419813,-0.82803875,-0.56890714
0.0,0.0,0.0,8.1495,0.104945034,-0.23504841,-0.7049102,0.66093904,6.9094486,32.27056,-6.06446,0.068489134,-0.79952836,-0.5567373
0.0,0.0,0.0,8.088856,0.107333764,-0.23773852,-0.7064026,0.6579933,6.8943543,32.276592,-6.083625,0.07240788,-0.77085555,-0.54280055
0.0,0.0,0.0,8.02802,0.10964822,-0.2403075,-0.7078529,0.6551137,6.8798633,32.28207,-6.1004624,0.07592812,-0.7420849,-0.5271299
0.0,0.0,0.0,7.9670153,0.11188882,-0.24275596,-0.7092565,0.6523079,6.865846,32.286945,-6.114877,0.079024985,-0.71327037,-0.50976944
0.0,0.0,0.0,7.9058666,0.11405617,-0.2450849,-0.71060914,0.64958394,6.8521614,32.29119,-6.126775,0.08167348,-0.68445665,-0.4907744
0.0,0.0,0.0,7.844599,0.1161509,-0.24729544,-0.7119065,0.6469491,6.838661,32.294785,-6.136073,0.08385205,-0.65568227,-0.47020933
0.0,0.0,0.0,7.783238,0.11817369,-0.24938895,-0.71314454,0.64441067,6.8251905,32.297726,-6.1426973,0.08554148,-0.62698084,-0.44814855
0.0,0.0,0.0,7.721811,0.12012523,-0.251367,-0.71431935,0.6419755,6.81159,32.30002,-6.146587,0.08672709,-0.59838235,-0.42467415
0.0,0.0,0.0,7.660345,0.1220062,-0.2532313,-0.71542716,0.63965017,6.7976975,32.301685,-6.1476927,0.08739792,-0.5699146,-0.39987656
0.0,0.0,0.0,7.5988684,0.123817325,-0.25498378,-0.7164647,0.637441,6.7833495,32.302765,-6.145982,0.08754924,-0.5416039,-0.37385225
0.0,0.0,0.0,7.5374084,0.12555924,-0.2566264,-0.7174286,0.63535357,6.768382,32.3033,-6.1414332,0.08718103,-0.5134757,-0.34670419
0.0,0.0,0.0,7.475994,0.1272326,-0.25816125,-0.71831596,0.63339317,6.752633,32.30335,-6.134042,0.086299226,-0.48555532,-0.3185403
0.0,0.0,0.0,7.414654,0.12883809,-0.25959057,-0.7191242,0.63156474,6.7359424,32.302986,-6.1238174,0.08491525,-0.45787174,-0.28947246
0.0,0.0,0.0,7.3534155,0.13037635,-0.26091662,-0.71985084,0.6298725,6.718155,32.302284,-6.1107855,0.08304646,-0.43045473,-0.25961572
0.0,0.0,0.0,7.292308,0.13184811,-0.26214176,-0.72049385,0.62832034,6.699114,32.30134,-6.094976,0.08068973,-0.40334806,-0.2291003
0.0,0.0,0.0,7.231358,0.13325399,-0.26326853,-0.7210514,0.62691134,6.678667,32.300247,-6.07643,0.07783086,-0.37660193,-0.19806743
0.0,0.0,0.0,7.1705937,0.13459468,-0.26429978,-0.72152215,0.62564826,6.656674,32.299114,-6.0552106,0.074470915,-0.3502583,-0.16665524
0.0,0.0,0.0,7.1100416,0.13587075,-0.26523846,-0.7219048,0.6245329,6.6330066,32.298042,-6.031401,0.07062442,-0.32435468,-0.13499814
