time/time_elapsed,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/ent_coef,train/n_updates,time/episodes,train/actor_loss,rollout/ep_rew_mean
1189,0.0003,-0.19522550702095032,500.0,60000,50,0.0003387847973499447,0.0006918066064827144,59899,120,-1.9843764305114746,-0.24816547999999994
1236,0.0003,-3.1240408420562744,500.0,62000,50,0.0005376646295189857,0.000652523769531399,61899,124,-1.7935607433319092,-0.24821873999999997
1282,0.0003,1.660254716873169,500.0,64000,49,0.009723123162984848,0.000670031935442239,63899,128,-1.6237056255340576,-0.25477037999999996
1324,0.0003,-1.4262710809707642,500.0,66000,49,0.0004204953438602388,0.0004969482542946935,65899,132,-1.4348660707473755,-0.25838508
1373,0.0003,-0.02237856388092041,500.0,68000,49,0.006945235654711723,0.00044420178164727986,67899,136,-1.3164372444152832,-0.24520789
1413,0.0003,0.9015539288520813,500.0,70000,49,0.00016870175022631884,0.00041890403372235596,69899,140,-1.1868025064468384,-0.20387256000000004
1452,0.0003,0.4449409544467926,500.0,72000,49,0.00013743495219387114,0.00035917109926231205,71899,144,-1.0744590759277344,-0.17649193
1490,0.0003,-0.2581242322921753,500.0,74000,49,0.002185991732403636,0.0003593946748878807,73899,148,-0.9583486914634705,-0.17251755
1528,0.0003,-0.546522855758667,500.0,76000,49,0.00012044192408211529,0.00033190709655173123,75899,152,-0.8852265477180481,-0.16390836999999997
1565,0.0003,5.104741096496582,500.0,78000,49,9.41204052651301e-05,0.0003251291054766625,77899,156,-0.7985390424728394,-0.15851008000000003
1604,0.0003,-3.798570394515991,500.0,80000,49,0.00011453319166321307,0.0003575502778403461,79899,160,-0.7356635332107544,-0.14659659000000003
1642,0.0003,-1.0141594409942627,500.0,82000,49,9.339702955912799e-05,0.0002754176966845989,81899,164,-0.673517107963562,-0.13921176000000002
1680,0.0003,-0.25790783762931824,500.0,84000,49,0.0014675566926598549,0.00023993921058718115,83899,168,-0.6063563823699951,-0.13731972
1720,0.0003,2.000725030899048,500.0,86000,49,3.741367254406214e-05,0.0001984445989364758,85899,172,-0.5474410653114319,-0.13459300000000002
1758,0.0003,2.867417812347412,500.0,88000,50,7.626622391398996e-05,0.0001929424179252237,87899,176,-0.5057598352432251,-0.10630863000000002
1797,0.0003,1.0249595642089844,500.0,90000,50,0.0009078672737814486,0.00015509496734011918,89899,180,-0.46435391902923584,-0.09325589999999999
1835,0.0003,-0.10054516792297363,500.0,92000,50,0.0007425403455272317,0.00015020152204670012,91899,184,-0.42847001552581787,-0.09133893
1873,0.0003,-1.7231725454330444,500.0,94000,50,0.0005554755916818976,0.00014208377979230136,93899,188,-0.38680025935173035,-0.09717625000000002
1910,0.0003,4.767659664154053,500.0,96000,50,3.2417188776889816e-05,0.00013469129044096917,95899,192,-0.355914831161499,-0.10083489999999998
1948,0.0003,1.6585218906402588,500.0,98000,50,9.69178945524618e-05,0.00011377569171600044,97899,196,-0.3199740946292877,-0.09291330999999997
1986,0.0003,-4.103857040405273,500.0,100000,50,0.0003169786068610847,0.0001157713559223339,99899,200,-0.29095908999443054,-0.09116137999999997
