time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/episodes,train/actor_loss,train/learning_rate
63291,1198,242.91,63190,0.004080441314727068,52,-0.40934187173843384,-1.90700829,0.003697998123243451,144,-1.4789962768554688,0.0003
64963,1230,242.28,64862,0.0029052067548036575,52,0.09635443985462189,-1.4432884700000002,0.0034848512150347233,148,-1.5620781183242798,0.0003
67220,1272,253.8,67119,0.007101432420313358,52,-0.7406481504440308,-1.1167305300000003,0.003582168836146593,152,-1.6456630229949951,0.0003
68900,1305,264.45,68799,0.0046411058865487576,52,1.1935174465179443,-0.5282673100000002,0.0036275512538850307,156,-1.5876281261444092,0.0003
71500,1353,281.93,71399,0.03540727496147156,52,-0.04245905950665474,0.04690546999999997,0.004227799829095602,160,-1.830615758895874,0.0003
74100,1402,299.39,73999,0.01206874568015337,52,-0.5935315489768982,0.64352781,0.0047421324998140335,164,-1.9285420179367065,0.0003
75918,1436,304.31,75817,0.016159173101186752,52,-0.6921970844268799,1.5481488200000002,0.004800246562808752,168,-2.035637617111206,0.0003
77800,1472,315.46,77699,0.013536895625293255,52,-0.22679269313812256,2.5089295600000003,0.004961732774972916,172,-2.462676525115967,0.0003
79300,1502,320.69,79199,0.007762782275676727,52,-0.2654532790184021,3.3346797200000005,0.004834477789700031,176,-2.26361083984375,0.0003
81231,1538,326.23,81130,0.004714380018413067,52,-1.2329044342041016,4.43042947,0.005208558868616819,180,-2.2627949714660645,0.0003
83200,1576,338.0,83099,0.028405722230672836,52,0.8874977231025696,5.53516788,0.005627972539514303,184,-2.8605082035064697,0.0003
85457,1619,353.59,85356,0.004641097038984299,52,0.9679522514343262,7.2328519799999995,0.005681384354829788,188,-3.0214738845825195,0.0003
87686,1661,369.86,87585,0.3169664144515991,52,0.8356279730796814,8.86920924,0.0061816987581551075,192,-3.009275436401367,0.0003
89641,1698,382.96,89540,0.006776244845241308,52,-0.6872372627258301,10.542803220000001,0.006618227809667587,196,-3.346466064453125,0.0003
91836,1740,398.72,91735,0.12101634591817856,52,-0.08615317940711975,12.513130089999999,0.0068724071606993675,200,-3.7945518493652344,0.0003
94419,1789,418.18,94318,0.11929307878017426,52,0.06512105464935303,15.49645364,0.007331574335694313,204,-4.031681537628174,0.0003
97112,1839,435.75,97011,0.008621186017990112,52,0.3159957528114319,19.0316979,0.006673090159893036,208,-4.648910999298096,0.0003
99538,1885,450.12,99437,0.0062181479297578335,52,-0.40139681100845337,21.876456509999997,0.0070982095785439014,212,-4.880697727203369,0.0003
