time/episodes,train/ent_coef,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,train/critic_loss
108,0.016041886061429977,-0.5664554834365845,24480,0.0003,225.18,10.89186205,49,124279,498,-9.031471252441406,0.10591805726289749
112,0.01612572744488716,0.08117324113845825,24981,0.0003,224.1,11.04093216,48,124780,510,-9.307244300842285,0.908096194267273
116,0.016388552263379097,-0.514647364616394,25550,0.0003,225.05,11.207390270000001,48,125349,524,-9.107988357543945,0.11603828519582748
120,0.01638398878276348,0.04377976059913635,26000,0.0003,223.49,11.20736284,48,125799,535,-9.018762588500977,0.06416428834199905
124,0.015861395746469498,0.055238887667655945,26553,0.0003,219.47,10.140220439999998,48,126352,548,-8.262920379638672,0.0856107845902443
128,0.015346059575676918,1.0187087059020996,27106,0.0003,219.06,9.88020738,48,126905,562,-8.817301750183105,0.40470772981643677
132,0.01487506553530693,-0.08533591032028198,27922,0.0003,225.13,10.673497159999997,48,127721,579,-9.10854721069336,0.33834534883499146
136,0.013082913123071194,-0.4483579397201538,29900,0.0003,236.23,13.359338419999998,48,129699,620,-8.247762680053711,0.1080121099948883
140,0.013853078708052635,0.8323426246643066,31119,0.0003,239.04,14.078708540000001,48,130918,644,-9.849143981933594,0.20245647430419922
144,0.014245222322642803,-0.8112345933914185,32426,0.0003,246.26,15.725084080000002,48,132225,670,-9.85713005065918,0.1245240569114685
148,0.015409611165523529,-0.4446483254432678,34642,0.0003,261.06,19.086563650000002,48,134441,711,-10.763467788696289,0.14600372314453125
152,0.01588740386068821,-0.06576621532440186,35551,0.0003,257.87,18.52359558,48,135350,730,-10.180229187011719,0.10349369794130325
156,0.0164744034409523,-1.0010915994644165,37351,0.0003,257.97,18.890510340000002,48,137150,764,-11.220003128051758,0.15068206191062927
160,0.016672706231474876,0.612754225730896,38204,0.0003,242.68,17.894713420000002,48,138003,782,-11.228864669799805,2.327047348022461
164,0.016617609187960625,-0.0597568154335022,39288,0.0003,222.09,18.72826734,48,139087,804,-11.739530563354492,0.6146745681762695
168,0.015928268432617188,-0.30560600757598877,40300,0.0003,221.0,20.684467410000003,48,140099,824,-12.517244338989258,1.9707621335983276
172,0.016154972836375237,0.20268625020980835,41442,0.0003,224.58,22.90859438,48,141241,847,-12.738409996032715,0.12274406850337982
176,0.015884405001997948,-0.3687703609466553,42420,0.0003,227.38,24.589559050000002,48,142219,867,-12.04516315460205,0.09155984222888947
180,0.01651821658015251,-0.03875786066055298,43457,0.0003,230.68,26.142067450000003,48,143256,888,-12.97023868560791,0.2179960161447525
184,0.016790801659226418,-0.7410591244697571,44738,0.0003,237.98,28.318559590000003,48,144537,913,-13.260988235473633,4.4830827713012695
