rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/ent_coef,time/episodes,train/critic_loss
142.98684210526315,-16.066240310668945,10766,0.0003,3.527083342105263,42,252,-10.936420440673828,10867,0.043470658361911774,76,0.14837613701820374
142.4125,-15.107915878295898,11292,0.0003,3.3952090124999996,42,265,-10.813297271728516,11393,0.037540800869464874,80,0.26329872012138367
143.1547619047619,-15.211572647094727,11924,0.0003,3.1437125476190473,42,280,-10.858940124511719,12025,0.03162262961268425,84,0.4737262725830078
144.1818181818182,-14.053274154663086,12587,0.0003,2.845291784090909,42,296,-9.066741943359375,12688,0.026592621579766273,88,0.20694036781787872
144.93478260869566,-13.593954086303711,13233,0.0003,2.616194304347826,42,310,-9.437813758850098,13334,0.022587792947888374,92,0.806834876537323
145.97916666666666,-13.104869842529297,13913,0.0003,2.3749454166666664,42,326,-8.027634620666504,14014,0.019063444808125496,96,0.102256178855896
146.3,-12.772711753845215,14529,0.0003,2.18317479,42,340,-8.709138870239258,14630,0.01626264490187168,100,0.07007016241550446
146.31,-12.262788772583008,15146,0.0003,2.13261413,42,355,-7.548920631408691,15247,0.013919101096689701,104,0.1289375126361847
145.43,-11.956605911254883,15663,0.0003,2.10646127,42,368,-7.65261173248291,15764,0.012228534556925297,108,0.16895082592964172
146.33,-11.155468940734863,16321,0.0003,2.02580714,42,383,-6.057137489318848,16422,0.010499006137251854,112,0.19377170503139496
146.52,-10.856257438659668,16960,0.0003,1.7658876200000002,42,398,-4.610527992248535,17061,0.009076273068785667,116,0.053915709257125854
148.32,-10.613786697387695,17617,0.0003,1.5301155700000002,42,413,-4.8446125984191895,17718,0.007842636667191982,120,0.05511675775051117
147.31,-9.975798606872559,18099,0.0003,1.38680306,42,426,-4.852924346923828,18200,0.00704569835215807,124,0.27342915534973145
147.51,-10.074213027954102,18700,0.0003,1.6213904000000001,42,441,-2.780815839767456,18801,0.006185815203934908,128,0.052036263048648834
147.46,-9.34365463256836,19305,0.0003,1.8686085299999997,42,455,-0.9240312576293945,19406,0.00563579797744751,132,0.13286781311035156
147.3,-9.290021896362305,19829,0.0003,1.86853349,42,467,1.9026046991348267,19930,0.005335482303053141,136,0.2651277780532837
147.3,-8.963274955749512,20424,0.0003,2.0155934099999997,42,481,-2.318235397338867,20525,0.005129148252308369,140,0.319400429725647
146.83,-8.960129737854004,20999,0.0003,2.24988958,42,494,0.3067789077758789,21100,0.005129328928887844,144,0.10359355807304382
147.42,-8.469416618347168,21603,0.0003,2.3445793599999996,42,508,0.14811845123767853,21704,0.0051924800500273705,148,0.057389117777347565
147.0,-7.9889421463012695,22155,0.0003,2.3595374400000004,42,521,0.9436681866645813,22256,0.005176912527531385,152,0.1659245640039444
144.68,-8.259546279907227,22433,0.0003,2.10418964,42,529,1.0172479152679443,22534,0.005127815529704094,156,0.3354540169239044
143.37,-7.728650093078613,22819,0.0003,1.96151458,42,539,-0.8790646195411682,22920,0.00505435885861516,160,0.06782646477222443
142.72,-7.893126010894775,23271,0.0003,1.88254006,42,550,1.9493982791900635,23372,0.0048920996487140656,164,0.05037170648574829
141.11,-7.862844944000244,23705,0.0003,2.00507442,42,561,-0.7983250021934509,23806,0.004808933939784765,168,0.41088607907295227
