Env,air_speed
0.0,25.30125
0.0,25.234333
0.0,25.150925
0.0,25.0879
0.0,24.989643
0.0,24.923618
0.0,24.886734
0.0,24.870724
0.0,24.862665
0.0,24.825035
0.0,24.819506
0.0,24.812038
0.0,24.773287
0.0,24.67542
0.0,24.63863
0.0,24.613024
0.0,24.579271
0.0,24.530508
0.0,24.459953
0.0,24.386404
0.0,24.335075
0.0,24.330896
0.0,24.325975
0.0,24.349945
0.0,24.361805
0.0,24.376066
0.0,24.360651
0.0,24.353077
0.0,24.356174
0.0,24.396578
0.0,25.875143
0.0,25.94932
0.0,25.988285
0.0,26.02397
0.0,26.09549
0.0,26.083712
0.0,26.11398
0.0,26.171099
0.0,26.205158
0.0,26.262009
0.0,26.274815
0.0,26.25447
0.0,26.31317
0.0,26.30447
0.0,26.353785
0.0,26.369099
0.0,26.36901
0.0,26.36686
0.0,26.370058
0.0,26.407228
0.0,26.428654
0.0,26.402699
0.0,26.412275
0.0,26.426523
0.0,26.451889
0.0,26.421434
0.0,26.373833
0.0,26.296957
0.0,26.296263
0.0,26.282938
0.0,26.309145
0.0,26.331984
0.0,26.30281
0.0,26.280952
0.0,26.269
0.0,26.2733
0.0,26.279373
0.0,26.240679
0.0,26.21613
0.0,26.179327
0.0,26.128115
0.0,26.089111
0.0,26.040253
0.0,25.985218
0.0,25.95549
0.0,25.919094
0.0,25.829508
0.0,25.794266
0.0,25.708082
0.0,25.703201
0.0,25.667843
0.0,25.6109
0.0,25.573992
0.0,25.551609
0.0,25.514368
0.0,25.476517
0.0,25.45106
0.0,25.463472
0.0,25.433298
0.0,25.406551
0.0,25.36075
0.0,25.296038
0.0,25.23321
0.0,25.205292
0.0,25.183977
0.0,25.157051
0.0,25.132507
0.0,25.091963
0.0,25.086447
0.0,25.042522
0.0,24.938856
0.0,24.892498
0.0,24.800661
0.0,24.777264
0.0,24.69316
0.0,24.676588
0.0,24.598488
0.0,24.582573
0.0,24.585922
0.0,24.606672
0.0,24.620232
0.0,49.83952
0.0,49.650936
0.0,49.52466
0.0,49.469604
0.0,49.251728
0.0,49.108242
0.0,48.95664
0.0,48.760605
0.0,48.566048
0.0,48.526253
0.0,48.469097
0.0,48.351826
0.0,48.2844
0.0,47.82253
0.0,47.67895
0.0,47.569527
0.0,47.310104
0.0,47.03488
0.0,46.991165
0.0,46.95911
0.0,46.91841
0.0,46.883057
0.0,46.712097
0.0,46.51135
0.0,46.300125
0.0,46.137375
0.0,46.058105
0.0,45.952454
0.0,45.815655
0.0,45.816025
0.0,45.783157
0.0,45.604015
0.0,45.550518
0.0,45.42198
0.0,45.17036
0.0,45.137962
0.0,45.02513
0.0,44.96627
0.0,44.961147
0.0,44.74044
0.0,44.6178
0.0,44.423378
0.0,44.2207
0.0,44.012093
0.0,43.762165
0.0,43.593517
0.0,43.51933
0.0,43.391098
0.0,43.102875
0.0,42.97204
0.0,42.7531
0.0,42.55187
0.0,42.40757
0.0,42.20245
0.0,42.05217
0.0,41.85224
0.0,41.668385
0.0,41.419804
0.0,41.118195
0.0,40.91955
0.0,40.479332
0.0,40.365906
0.0,40.133427
0.0,40.049297
0.0,39.95076
0.0,39.859474
0.0,39.716793
0.0,39.557793
0.0,39.472565
0.0,39.226757
0.0,39.022987
0.0,38.956226
0.0,38.840076
0.0,38.762566
0.0,38.60194
0.0,38.543118
0.0,38.42509
0.0,38.368687
0.0,38.302483
0.0,38.14692
0.0,38.026604
0.0,37.983017
0.0,37.8089
0.0,37.64419
0.0,37.465267
0.0,37.342438
0.0,37.178288
0.0,37.11831
0.0,36.914898
0.0,36.834694
0.0,36.69136
0.0,36.574722
0.0,36.389164
0.0,36.21334
0.0,35.99962
0.0,35.76523
0.0,35.65391
0.0,35.5355
0.0,35.4697
0.0,35.377728
0.0,35.171352
0.0,35.10849
0.0,35.04865
0.0,34.913647
0.0,34.781433
0.0,34.657883
0.0,34.573006
0.0,34.429977
0.0,34.34613
0.0,34.30679
0.0,34.217415
0.0,34.178936
0.0,34.139267
0.0,34.0921
0.0,34.004246
0.0,33.903553
0.0,33.79879
0.0,33.608692
0.0,33.484783
0.0,33.39821
0.0,33.292183
0.0,33.237686
0.0,33.20564
0.0,33.150875
0.0,33.095318
0.0,32.987343
0.0,32.93727
0.0,32.81551
0.0,32.691456
0.0,32.569023
0.0,32.369915
0.0,32.233475
0.0,32.13962
0.0,31.952744
0.0,31.786795
0.0,31.688871
0.0,31.483196
0.0,31.412304
0.0,31.335297
0.0,31.21172
0.0,31.12886
0.0,31.017986
0.0,30.932686
0.0,30.775314
0.0,30.640387
0.0,30.56284
0.0,30.437298
0.0,30.264277
0.0,30.18673
0.0,29.991848
0.0,29.927704
0.0,29.847471
0.0,29.74734
0.0,29.587917
0.0,29.502321
0.0,29.380558
0.0,29.280111
0.0,29.205204
0.0,29.062218
0.0,28.936049
0.0,28.843853
0.0,28.775942
0.0,28.705675
0.0,28.56128
0.0,28.510334
0.0,28.41228
0.0,28.309958
0.0,28.200317
0.0,28.156734
0.0,28.034712
0.0,27.984665
0.0,27.898014
0.0,27.777107
0.0,27.738304
0.0,27.65401
0.0,27.545639
0.0,27.475542
0.0,27.383333
0.0,27.349216
0.0,27.262821
0.0,27.220312
0.0,27.160864
0.0,27.071474
0.0,27.026518
0.0,26.988068
0.0,26.91051
0.0,26.784794
0.0,26.647541
0.0,26.54658
0.0,26.481724
0.0,26.391066
0.0,26.300499
0.0,26.19216
0.0,26.130487
0.0,26.08477
0.0,25.977278
0.0,25.930168
0.0,25.82424
0.0,25.697702
0.0,25.612701
0.0,25.518942
0.0,25.422352
0.0,25.383738
0.0,25.292496
0.0,25.247322
0.0,25.198353
0.0,25.08739
0.0,25.0366
0.0,24.959753
0.0,24.89376
0.0,24.822279
0.0,24.77665
0.0,24.666794
0.0,24.539236
0.0,24.488894
0.0,24.430151
0.0,24.394758
0.0,24.31251
0.0,24.25744
0.0,24.182442
0.0,24.106087
0.0,24.0271
0.0,23.96042
0.0,23.937939
0.0,23.914381
0.0,23.875673
0.0,23.859905
0.0,23.81508
0.0,23.790337
0.0,23.741945
0.0,23.72884
0.0,23.708529
0.0,23.664234
0.0,23.64055
0.0,23.61424
0.0,23.610498
0.0,23.610603
0.0,23.58088
0.0,23.550892
0.0,23.550846
0.0,23.5245
0.0,23.507193
0.0,23.47185
0.0,23.460936
0.0,23.468548
0.0,23.472597
0.0,23.482616
0.0,23.484068
0.0,23.48748
0.0,23.464611
0.0,23.44152
0.0,23.42981
0.0,23.44914
0.0,23.476213
0.0,23.453299
0.0,23.469952
0.0,23.46436
0.0,23.484358
0.0,23.518196
0.0,23.546768
0.0,23.57554
0.0,23.593243
0.0,23.614517
0.0,23.621054
0.0,23.642078
0.0,23.660374
0.0,23.690817
0.0,23.73614
0.0,23.743908
0.0,23.77567
0.0,23.755016
0.0,23.798777
0.0,23.842743
0.0,23.878788
0.0,23.91501
0.0,23.95487
0.0,23.993675
0.0,24.001741
0.0,24.021112
0.0,24.063837
0.0,24.080427
0.0,24.107138
0.0,24.119913
0.0,24.12916
0.0,24.13185
0.0,24.14191
0.0,24.139536
0.0,24.138231
0.0,24.154665
0.0,24.1486
0.0,24.15394
0.0,24.18651
0.0,24.206705
0.0,24.221777
