Env,x,y,z
0.0,-26.095037,11.497238,5.89707
0.0,-26.133017,11.453413,5.836493
0.0,-26.145927,11.401239,5.821091
0.0,-26.141254,11.347584,5.786759
0.0,-26.16079,11.30488,5.7006216
0.0,-26.089603,11.259656,5.648849
0.0,-26.074684,11.194954,5.6555686
0.0,-26.014267,11.119075,5.6798363
0.0,-25.935421,11.021323,5.735134
0.0,-25.901564,10.939898,5.756636
0.0,-25.885748,10.848121,5.7171736
0.0,-25.860235,10.739306,5.7090316
0.0,-25.82448,10.61582,5.717592
0.0,-25.75389,10.494877,5.7114353
0.0,-25.689554,10.3897,5.6776905
0.0,-25.648476,10.261287,5.661368
0.0,-25.641937,10.1231785,5.6134477
0.0,-25.593487,9.985095,5.5111976
0.0,-25.54888,9.867042,5.4051785
0.0,-25.477655,9.726244,5.2357073
0.0,-25.449423,9.593855,5.0694995
0.0,-25.481916,9.435118,4.937628
0.0,-25.496096,9.271335,4.820114
0.0,-25.48643,9.090477,4.7319207
0.0,-25.510593,8.89431,4.6280427
0.0,-25.47301,8.703046,4.528155
0.0,-25.482603,8.529625,4.3969226
0.0,-25.407017,8.357722,4.1848707
0.0,-25.436146,8.163672,3.97936
0.0,-25.506256,7.9540887,3.7982016
0.0,-25.56083,7.7334023,3.6228938
0.0,-25.595371,7.494534,3.4302597
0.0,-25.663015,7.2466707,3.2774754
0.0,-25.726124,7.000588,3.126873
0.0,-25.7911,6.7403574,2.9741488
0.0,-25.772573,6.462489,2.8750114
0.0,-25.831604,6.1984024,2.7597504
0.0,-25.833931,5.9185047,2.6044998
0.0,-25.831776,5.644455,2.3974361
0.0,-25.861732,5.3776865,2.229988
0.0,-25.930225,5.113775,2.0628939
0.0,-25.969656,4.8475986,1.9298134
0.0,-26.019022,4.572599,1.7887383
0.0,-26.079441,4.2975044,1.663722
0.0,-26.137821,4.020219,1.5251007
0.0,-26.173471,3.7358062,1.4231281
0.0,-26.246744,3.4469094,1.327569
0.0,-26.284698,3.155019,1.2269974
0.0,-26.354942,2.8599133,1.1405554
0.0,-26.411509,2.5633655,1.0786295
0.0,-26.396658,2.2648153,0.97394943
0.0,-26.43777,1.9682374,0.8990822
0.0,-26.411753,1.6713,0.79231644
0.0,-26.378494,1.3751233,0.7463732
0.0,-26.417025,1.0797937,0.7010317
0.0,-26.364239,0.7886447,0.6179218
0.0,-26.396378,0.4987989,0.5529661
0.0,-26.380598,0.21337968,0.46933842
0.0,-26.412243,-0.071538806,0.4097824
0.0,-26.341953,-0.34718382,0.40251064
0.0,-26.287918,-0.6151149,0.42476082
0.0,-26.289246,-0.88082576,0.41996765
0.0,-26.246086,-1.1378222,0.44922543
0.0,-26.213442,-1.387493,0.41260242
0.0,-26.204624,-1.6326728,0.35150242
0.0,-26.161531,-1.8670722,0.34250164
0.0,-26.14335,-2.0937433,0.34571362
0.0,-26.10374,-2.3092253,0.33237362
0.0,-26.025745,-2.509885,0.35643387
0.0,-25.938576,-2.6984138,0.31281567
0.0,-25.858927,-2.8793657,0.22272015
0.0,-25.8321,-3.058052,0.14815521
0.0,-25.786556,-3.2234998,0.097940445
0.0,-25.701273,-3.3713934,0.08566761
0.0,-25.60029,-3.504543,0.040616035
0.0,-25.550251,-3.635004,0.0064764023
0.0,-25.485003,-3.7526658,0.011497498
0.0,-25.389072,-3.852272,0.038531303
0.0,-25.36912,-3.948826,0.03348732
0.0,-25.339298,-4.0321345,0.036144257
0.0,-25.299824,-4.1011224,0.043157578
0.0,-25.213554,-4.149272,0.0825758
0.0,-25.141296,-4.183757,0.113801956
0.0,-25.06942,-4.204563,0.14737129
0.0,-25.039352,-4.2186036,0.17550182
0.0,-25.006866,-4.217185,0.18171597
0.0,-24.937809,-4.198878,0.13174915
0.0,-24.854652,-4.167148,0.056851387
0.0,-24.793911,-4.1252756,-0.027568817
0.0,-24.700077,-4.066879,-0.13474655
0.0,-24.639503,-4.004103,-0.23303032
0.0,-24.60907,-3.9386911,-0.3037405
0.0,-24.6002,-3.870702,-0.36393452
0.0,-24.600996,-3.79532,-0.39227486
0.0,-24.573757,-3.7054455,-0.42974186
0.0,-24.579992,-3.6084757,-0.4604187
0.0,-24.585135,-3.5044105,-0.48409176
0.0,-24.559708,-3.3875802,-0.5262451
0.0,-24.477589,-3.2565227,-0.5042429
0.0,-24.457922,-3.1165955,-0.46905708
0.0,-24.449314,-2.966134,-0.47148705
0.0,-24.431759,-2.8116581,-0.49447823
0.0,-24.400387,-2.648144,-0.4631443
0.0,-24.34755,-2.4762516,-0.39706802
0.0,-24.290924,-2.3029928,-0.3055811
0.0,-24.254406,-2.1311488,-0.27165604
0.0,-24.264175,-1.9566507,-0.24888039
0.0,-24.27187,-1.7820135,-0.2375412
0.0,-24.307238,-1.6095672,-0.22045231
0.0,-24.32962,-1.4324329,-0.19397545
0.0,-24.353432,-1.2513771,-0.151968
0.0,-24.346046,-1.0658929,-0.15798569
0.0,-24.34547,-0.87905693,-0.12399578
0.0,-24.354164,-0.691159,-0.0891304
0.0,-24.398672,-0.50447774,-0.05462265
0.0,-26.873005,1.0563593,-0.59860516
0.0,-26.896507,0.990134,-0.6796703
0.0,-26.886204,0.92404884,-0.6956831
0.0,-26.875223,0.85921645,-0.7121023
0.0,-26.901823,0.7968695,-0.70281065
0.0,-26.847729,0.7343647,-0.6382959
0.0,-26.838243,0.6747586,-0.59931
0.0,-26.857021,0.6129304,-0.5816947
0.0,-26.853945,0.5518619,-0.58246154
0.0,-26.875107,0.48950458,-0.5697625
0.0,-26.85412,0.42926547,-0.5369892
0.0,-26.801538,0.36660922,-0.5440684
0.0,-26.829113,0.30129778,-0.5404931
0.0,-26.791323,0.23737027,-0.48167688
0.0,-26.8135,0.1728575,-0.4202093
0.0,-26.802828,0.10956882,-0.40600234
0.0,-26.777266,0.047571473,-0.4300217
0.0,-26.750114,-0.012352925,-0.48301288
0.0,-26.729048,-0.070036024,-0.52922606
0.0,-26.743046,-0.12331806,-0.57046044
0.0,-26.742275,-0.17451742,-0.61227477
0.0,-26.695004,-0.22539234,-0.6571392
0.0,-26.684116,-0.28190473,-0.7019684
0.0,-26.67885,-0.33991882,-0.7416886
0.0,-26.68604,-0.39841956,-0.76166636
0.0,-26.63911,-0.45397192,-0.75206774
0.0,-26.577347,-0.49604326,-0.69609195
0.0,-26.488083,-0.5432588,-0.5971941
0.0,-26.475576,-0.58088046,-0.5276824
0.0,-26.450287,-0.6217553,-0.5047379
0.0,-26.46514,-0.66040564,-0.4744245
0.0,-26.477283,-0.6948915,-0.45091558
0.0,-26.43861,-0.7232947,-0.38300475
0.0,-26.407333,-0.751101,-0.37050253
0.0,-26.385942,-0.7750992,-0.39875108
0.0,-26.381083,-0.79743,-0.43203712
0.0,-26.378418,-0.8147349,-0.4716213
0.0,-26.331074,-0.83026105,-0.5268964
0.0,-26.297789,-0.84817713,-0.59386736
0.0,-26.252687,-0.8606515,-0.6553142
0.0,-26.195162,-0.877715,-0.6349584
0.0,-26.149776,-0.8910436,-0.6487701
0.0,-26.09475,-0.8965713,-0.67656565
0.0,-26.033781,-0.89135337,-0.7201999
0.0,-25.998518,-0.8775443,-0.76771224
0.0,-25.95656,-0.86746055,-0.8180206
0.0,-25.863695,-0.85683316,-0.7974106
0.0,-25.82504,-0.85755044,-0.78368455
0.0,-25.737547,-0.84565073,-0.71558565
0.0,-25.731316,-0.8244157,-0.67178893
0.0,-25.694445,-0.804373,-0.63775223
0.0,-25.637001,-0.7908583,-0.552377
0.0,-25.598705,-0.77296656,-0.5229877
0.0,-25.575453,-0.7499603,-0.47739005
0.0,-25.537127,-0.71917355,-0.46308005
0.0,-25.49764,-0.6927734,-0.47790992
0.0,-25.470116,-0.66920805,-0.51494455
0.0,-25.480713,-0.6472391,-0.53880835
0.0,-25.44854,-0.62127,-0.57825375
0.0,-25.419727,-0.59140027,-0.62398267
0.0,-25.371737,-0.5554861,-0.6779698
0.0,-25.304565,-0.52413106,-0.7345611
0.0,-25.239443,-0.48362577,-0.7884865
0.0,-25.210135,-0.45339906,-0.8059386
0.0,-25.188293,-0.43044347,-0.7941352
0.0,-25.16161,-0.41228944,-0.7563968
0.0,-25.13672,-0.39949226,-0.7377902
0.0,-25.095308,-0.38319957,-0.74061453
0.0,-25.089529,-0.36263198,-0.7263695
0.0,-25.04513,-0.34234953,-0.7208307
0.0,-24.942535,-0.32856733,-0.65470314
0.0,-24.89617,-0.30463517,-0.6363313
0.0,-24.805557,-0.27444434,-0.56708026
0.0,-24.782606,-0.25216234,-0.5269215
0.0,-24.699524,-0.23477161,-0.44947386
0.0,-24.683054,-0.2094034,-0.42395043
