Env,ground_speed
0.0,25.55282
0.0,25.487282
0.0,25.41999
0.0,25.392845
0.0,25.36062
0.0,25.289173
0.0,25.201626
0.0,25.134766
0.0,25.033003
0.0,24.963821
0.0,24.924124
0.0,24.905512
0.0,24.895126
0.0,24.85527
0.0,24.847717
0.0,24.838358
0.0,24.797817
0.0,24.698408
0.0,24.66015
0.0,24.633093
0.0,24.597984
0.0,24.548037
0.0,24.47637
0.0,24.401766
0.0,24.349367
0.0,24.34421
0.0,24.338356
0.0,24.361465
0.0,24.372522
0.0,24.386036
0.0,24.36988
0.0,24.361654
0.0,24.36413
0.0,24.403946
0.0,26.90042
0.0,26.923306
0.0,26.91107
0.0,26.89838
0.0,26.922798
0.0,26.865353
0.0,26.85341
0.0,26.87031
0.0,26.865929
0.0,26.885601
0.0,26.862917
0.0,26.809565
0.0,26.836246
0.0,26.796703
0.0,26.81735
0.0,26.806128
0.0,26.78076
0.0,26.754477
0.0,26.734377
0.0,26.749414
0.0,26.749853
0.0,26.704042
0.0,26.694834
0.0,26.691324
0.0,26.69988
0.0,26.65359
0.0,26.591085
0.0,26.500381
0.0,26.487202
0.0,26.462406
0.0,26.47763
0.0,26.49024
0.0,26.451273
0.0,26.420607
0.0,26.400335
0.0,26.396667
0.0,26.395212
0.0,26.349428
0.0,26.318161
0.0,26.274963
0.0,26.21755
0.0,26.172995
0.0,26.118912
0.0,26.058985
0.0,26.024647
0.0,25.983932
0.0,25.890165
0.0,25.851154
0.0,25.761377
0.0,25.75328
0.0,25.71494
0.0,25.655142
0.0,25.615711
0.0,25.5909
0.0,25.551447
0.0,25.511526
0.0,25.48411
0.0,25.494627
0.0,25.462688
0.0,25.43426
0.0,25.386868
0.0,25.320648
0.0,25.256386
0.0,25.22709
0.0,25.204485
0.0,25.176353
0.0,25.150715
0.0,25.109152
0.0,25.102661
0.0,25.057837
0.0,24.953287
0.0,24.90616
0.0,24.81356
0.0,24.78949
0.0,24.704731
0.0,24.687586
0.0,24.608912
0.0,24.592495
