time/time_elapsed,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,time/total_timesteps
744,0.009293247014284134,28899,0.0003,3.135206699371338,-10.203425407409668,152,41.17609148,38,186.0,0.847584068775177,29000
755,0.009705128148198128,29299,0.0003,-0.06556954979896545,-10.827088356018066,156,41.93301162999999,38,182.0,0.21771875023841858,29400
770,0.010056084021925926,29884,0.0003,1.6137856245040894,-11.112508773803711,160,43.922623089999995,38,179.85,2.3281126022338867,29985
781,0.010517576709389687,30287,0.0003,2.101924180984497,-10.922338485717773,164,44.88407231,38,175.88,2.1212244033813477,30388
794,0.010630689561367035,30699,0.0003,0.6584776639938354,-11.87108325958252,168,46.1662412,38,172.0,2.6195101737976074,30800
810,0.010771830566227436,31296,0.0003,0.026507019996643066,-10.739316940307617,172,47.882079360000006,38,169.97,1.1307584047317505,31397
822,0.011143184266984463,31683,0.0003,2.310953378677368,-11.855093002319336,176,48.42559734000001,38,165.84,1.1375727653503418,31784
834,0.011288683861494064,32099,0.0003,0.16043636202812195,-11.264991760253906,180,48.48289248000001,38,162.0,1.0762797594070435,32200
851,0.01149775180965662,32699,0.0003,0.5843050479888916,-11.52376937866211,184,50.036736870000006,38,160.0,3.36320424079895,32800
867,0.011484776623547077,33299,0.0003,1.6918063163757324,-12.764923095703125,188,51.28005523000001,38,158.0,4.6532464027404785,33400
889,0.011680479161441326,34099,0.0003,-0.09504029154777527,-11.195152282714844,192,53.642967760000005,38,158.0,4.839967727661133,34200
913,0.012323222123086452,34899,0.0003,-1.2877378463745117,-13.65604019165039,196,55.794042069999996,38,158.0,1.8882505893707275,35000
931,0.012364482507109642,35499,0.0003,1.8018524646759033,-13.767875671386719,200,57.31540706,38,156.0,1.9917869567871094,35600
949,0.012584744952619076,36099,0.0003,-0.7445100545883179,-14.746639251708984,204,57.967640640000006,38,154.0,0.8206987380981445,36200
968,0.013093485496938229,36699,0.0003,0.07712233066558838,-14.381551742553711,208,58.770706849999996,37,152.0,1.804370641708374,36800
991,0.012957490049302578,37499,0.0003,1.6158795356750488,-14.924957275390625,212,61.16521753999999,37,152.0,0.6913886070251465,37600
1014,0.012725120410323143,38299,0.0003,1.4463142156600952,-14.81123161315918,216,63.02010484,37,152.0,6.7216973304748535,38400
1036,0.01328528393059969,39092,0.0003,0.2417321503162384,-14.613204956054688,220,64.5244797,37,151.93,0.5750457048416138,39193
1048,0.013149509206414223,39499,0.0003,0.8912156820297241,-15.802471160888672,224,64.32092114,37,148.0,1.4717800617218018,39600
1059,0.013088179752230644,39899,0.0003,-0.04465609788894653,-14.861928939819336,228,63.02808286,37,144.0,0.3916749954223633,40000
1076,0.013582512736320496,40491,0.0003,0.731805682182312,-15.415067672729492,232,63.69687634000001,37,143.92,1.56693696975708,40592
1087,0.014250412583351135,40899,0.0003,-0.506238579750061,-16.058359146118164,236,63.68929899999999,37,142.0,2.633526563644409,41000
1104,0.014630476012825966,41478,0.0003,-0.7971253991127014,-15.657744407653809,240,63.93011651999999,37,139.79,0.8045442700386047,41579
1116,0.015371251851320267,41899,0.0003,-0.9986839294433594,-14.96895980834961,244,63.42040137,37,138.0,0.3464841842651367,42000
1128,0.015802759677171707,42299,0.0003,-0.341061532497406,-16.980384826660156,248,63.88594684,37,138.0,0.46930965781211853,42400
1140,0.01591850258409977,42699,0.0003,0.6957560777664185,-16.39361572265625,252,64.33661599999999,37,138.0,1.3957829475402832,42800
1152,0.01599930413067341,43099,0.0003,-2.307084321975708,-15.754337310791016,256,64.70458056999999,37,138.0,0.4748988747596741,43200
1168,0.016310272738337517,43698,0.0003,-3.2501790523529053,-18.20818328857422,260,65.38832346999999,37,138.14,0.9057962894439697,43799
1180,0.01665744185447693,44099,0.0003,0.3450908064842224,-15.607728004455566,264,65.61482814000001,37,138.12,0.33944958448410034,44200
1192,0.01705564185976982,44499,0.0003,1.8388187885284424,-16.27967071533203,268,65.98358006000001,37,138.0,2.6984128952026367,44600
1203,0.01674257591366768,44899,0.0003,-1.0612404346466064,-17.161680221557617,272,65.54981233000001,37,136.03,0.9442513585090637,45000
1215,0.017254769802093506,45299,0.0003,-2.4508419036865234,-16.711524963378906,276,65.93567312,37,136.16,1.2559502124786377,45400
1227,0.017158478498458862,45699,0.0003,-1.2564263343811035,-18.547786712646484,280,66.33681475,37,136.0,2.332038402557373,45800
1239,0.017699889838695526,46099,0.0003,0.8986102342605591,-16.314006805419922,284,65.81425039000001,37,134.0,3.056264638900757,46200
1250,0.017562752589583397,46499,0.0003,-1.8008124828338623,-17.909835815429688,288,65.34810520999999,37,132.0,0.3475315272808075,46600
1262,0.017781896516680717,46899,0.0003,-0.7345812320709229,-16.7934513092041,292,63.95442444,37,128.0,0.6164722442626953,47000
1273,0.01844749040901661,47299,0.0003,0.6162934303283691,-17.720991134643555,296,62.760292629999995,37,124.0,1.5846048593521118,47400
1285,0.018876658752560616,47699,0.0003,-0.14281997084617615,-17.697769165039062,300,62.12267859000001,37,122.0,0.48126205801963806,47800
1296,0.01837698370218277,48099,0.0003,-0.07727047801017761,-17.62091827392578,304,61.55015842000001,37,120.0,0.5577748417854309,48200
1308,0.01850811392068863,48499,0.0003,0.3823639452457428,-18.07182502746582,308,60.8488342,37,118.0,2.8339383602142334,48600
1320,0.01822805032134056,48899,0.0003,-1.019343376159668,-18.911357879638672,312,59.572717860000004,37,114.0,0.8425151705741882,49000
1332,0.01849127747118473,49299,0.0003,-1.1570262908935547,-19.00404930114746,316,58.13565148000001,37,110.0,2.7618918418884277,49400
1344,0.0189807191491127,49699,0.0003,0.6244208812713623,-18.924833297729492,320,56.38607358000001,37,106.07,0.3769751489162445,49800
1359,0.01905795931816101,50285,0.0003,-1.6999748945236206,-19.65193748474121,324,57.43039938999999,37,107.86,3.377384662628174,50386
1373,0.019096650183200836,50690,0.0003,0.7496500611305237,-19.554790496826172,328,57.376320299999996,36,107.91,1.252586841583252,50791
1386,0.019374143332242966,51089,0.0003,1.84430992603302,-19.945755004882812,332,56.19507555999999,36,105.98,0.6356879472732544,51190
1398,0.019188616424798965,51487,0.0003,1.7622565031051636,-17.404170989990234,336,55.95767455999999,36,105.88,1.7301312685012817,51588
1410,0.019457224756479263,51870,0.0003,-1.4747473001480103,-19.573204040527344,340,54.66466016999999,36,103.92,2.6353955268859863,51971
1423,0.019470959901809692,52276,0.0003,-0.804398238658905,-19.546823501586914,344,54.423646280000014,36,103.77,0.979403018951416,52377
1436,0.01980353519320488,52672,0.0003,-0.8005740642547607,-19.22709083557129,348,54.09180238999999,36,103.73,0.8990505933761597,52773
1448,0.02017577551305294,53074,0.0003,-2.189321279525757,-19.311756134033203,352,53.731608539999996,36,103.75,1.0643339157104492,53175
1461,0.020259961485862732,53477,0.0003,-0.24038273096084595,-19.469512939453125,356,53.447271529999995,36,103.78,1.1589243412017822,53578
1473,0.020616116002202034,53872,0.0003,-1.2079068422317505,-19.07708740234375,360,52.13742901,36,101.74,0.7784757018089294,53973
1486,0.020971275866031647,54282,0.0003,-1.1983281373977661,-20.318527221679688,364,51.98525517,36,101.83,1.423943281173706,54383
1498,0.020566638559103012,54668,0.0003,0.39728519320487976,-19.073139190673828,368,51.70999454,36,101.69,1.4886394739151,54769
1511,0.02091206982731819,55099,0.0003,0.8299327492713928,-19.032949447631836,372,51.495593570000004,36,102.0,0.3013404607772827,55200
1523,0.0208359956741333,55499,0.0003,-0.2612242102622986,-19.87229347229004,376,51.26382113,36,102.0,3.1943788528442383,55600
1535,0.020992791280150414,55899,0.0003,0.6436185836791992,-21.000696182250977,380,50.988332709999995,36,102.0,0.3071408271789551,56000
1545,0.02146456576883793,56299,0.0003,0.6810614466667175,-18.806446075439453,384,50.75098859,36,102.0,2.3646483421325684,56400
1556,0.021884530782699585,56699,0.0003,2.439396381378174,-20.49519920349121,388,50.47517394999999,36,102.0,1.802010178565979,56800
1567,0.02177475579082966,57099,0.0003,-1.0490608215332031,-19.069013595581055,392,50.175953019999994,36,102.0,0.35580500960350037,57200
1577,0.022283107042312622,57499,0.0003,1.0981725454330444,-21.065868377685547,396,49.828885140000004,36,102.0,1.0144784450531006,57600
1588,0.022152353078126907,57899,0.0003,0.2452566921710968,-18.84115982055664,400,49.65035323,36,102.0,2.0505876541137695,58000
1601,0.02243875339627266,58299,0.0003,-0.9750537872314453,-20.482505798339844,404,49.386360229999994,36,102.0,1.4282280206680298,58400
1614,0.022931594401597977,58699,0.0003,-0.2186669111251831,-21.23196792602539,408,49.150002119999996,36,102.0,1.4207141399383545,58800
1627,0.02238122932612896,59099,0.0003,0.7648682594299316,-20.76262664794922,412,48.87044187000001,36,102.0,0.33789122104644775,59200
1639,0.02227335423231125,59499,0.0003,0.2594779431819916,-22.139060974121094,416,48.621789369999995,36,102.0,1.430501937866211,59600
1652,0.022264858707785606,59899,0.0003,0.6426635980606079,-21.360763549804688,420,48.37367503999999,36,102.0,2.3116469383239746,60000
1664,0.022604061290621758,60299,0.0003,0.552280843257904,-20.350337982177734,424,47.09561975,36,100.14,0.3649371266365051,60400
1676,0.022764429450035095,60699,0.0003,-0.45154672861099243,-21.32095718383789,428,46.85158817000001,36,100.09,2.1649370193481445,60800
1688,0.022851189598441124,61099,0.0003,-1.0656183958053589,-22.54934310913086,432,46.588556489999995,36,100.1,0.29147836565971375,61200
1700,0.022414445877075195,61499,0.0003,-0.7306467890739441,-21.92409896850586,436,46.35505243999999,36,100.12,0.4344472289085388,61600
1711,0.02190951071679592,61899,0.0003,0.3238993287086487,-21.332683563232422,440,46.28966725,36,100.29,0.36185580492019653,62000
1722,0.022329460829496384,62299,0.0003,0.825951337814331,-21.912763595581055,444,46.172502460000004,36,100.23,2.550165891647339,62400
1733,0.02275373600423336,62699,0.0003,1.0169914960861206,-21.461292266845703,448,46.064840329999996,36,100.27,0.3405001759529114,62800
1743,0.022303884848952293,63099,0.0003,-0.44968053698539734,-21.617263793945312,452,46.050299130000006,36,100.25,0.3906911611557007,63200
1754,0.022516388446092606,63499,0.0003,1.0043504238128662,-22.603988647460938,456,46.02072506,36,100.22,7.975155830383301,63600
1765,0.022833527997136116,63899,0.0003,-0.015098631381988525,-22.025644302368164,460,45.98406043,36,100.27,3.509769916534424,64000
1776,0.02234158106148243,64299,0.0003,1.6337857246398926,-21.347259521484375,464,45.98801529,36,100.17,0.31865859031677246,64400
1786,0.02241409756243229,64699,0.0003,-0.7641475796699524,-23.31906509399414,468,46.13554191,36,100.31,2.5447678565979004,64800
1797,0.022319283336400986,65099,0.0003,-1.054064154624939,-22.562591552734375,472,46.08822329,36,100.0,1.61575186252594,65200
1808,0.02235872857272625,65499,0.0003,0.9362384676933289,-21.28579330444336,476,46.15169804999999,36,100.0,4.298464775085449,65600
1818,0.02245592698454857,65899,0.0003,0.07338869571685791,-23.4857177734375,480,46.242801639999996,36,100.0,0.35522738099098206,66000
1829,0.02267882041633129,66299,0.0003,-0.6986868977546692,-23.537109375,484,46.30243332999999,36,100.0,0.22826001048088074,66400
1840,0.022328710183501244,66699,0.0003,-1.0319201946258545,-23.604854583740234,488,46.47822625000001,36,100.0,2.0292978286743164,66800
1851,0.021907350048422813,67099,0.0003,0.7389984130859375,-21.334064483642578,492,46.604117110000004,36,100.0,0.35238224267959595,67200
1861,0.021198470145463943,67499,0.0003,-1.5811564922332764,-22.608768463134766,496,46.773101149999995,36,100.0,2.309781789779663,67600
1872,0.021550791338086128,67899,0.0003,-1.4693881273269653,-24.430063247680664,500,46.95955878000001,36,100.0,0.30520403385162354,68000
1883,0.021831603720784187,68299,0.0003,0.4472905695438385,-22.50625991821289,504,47.260173269999996,36,100.0,4.456967353820801,68400
1893,0.022014234215021133,68699,0.0003,0.4184373617172241,-21.97628402709961,508,47.45434489,36,100.0,0.3514483571052551,68800
1904,0.02166297473013401,69099,0.0003,0.7414559125900269,-22.535629272460938,512,47.7416142,36,100.0,0.4732549488544464,69200
