Env,fx,fy,fz
0.0,4.308567,-0.7224096,-2.3747258
0.0,1.5028206,-0.6314586,2.4324856
0.0,3.7122002,-0.8553613,-1.2594413
0.0,4.6645637,-0.9877355,-0.34800673
0.0,2.7617419,-0.9177922,2.570379
0.0,2.5828326,-0.8996339,9.458493
0.0,8.01818,-1.2551937,10.731279
0.0,2.017117,-1.0657287,6.3460903
0.0,3.7662964,-1.1661658,8.0032215
0.0,1.4765117,-1.0501618,4.7279167
0.0,2.702616,-1.1895834,4.7679763
0.0,3.892081,-1.272222,2.7168283
0.0,4.5146914,-1.4016856,-2.452445
0.0,2.522702,-1.3204103,0.7307601
0.0,1.1752081,-1.2793825,0.9863922
0.0,5.0083785,-1.5191598,1.941847
0.0,3.4001555,-1.3709246,0.9898839
0.0,0.9125453,-1.2175924,-4.7187567
0.0,2.0725477,-1.2929083,-5.249836
0.0,3.0439994,-1.3145822,-1.6288676
0.0,1.4581568,-1.2311094,-5.4540405
0.0,0.7064932,-1.1638126,-3.1177492
0.0,2.6228733,-1.2531893,-5.2425885
0.0,0.860858,-1.113043,0.1535488
0.0,3.5080597,-1.2425854,-2.58355
0.0,2.7143698,-1.1870813,-2.305935
0.0,1.2084198,-1.0812366,1.6541915
0.0,2.0609925,-1.0634514,1.1577382
0.0,5.8873906,-1.1871364,7.2242165
0.0,3.2210217,-1.0454471,6.42998
0.0,0.8206449,-0.8678243,2.9795861
0.0,3.61568,-0.9294957,-1.2229985
0.0,4.888298,-0.93967396,-0.55488104
0.0,4.318868,-0.813555,6.882294
0.0,0.77121866,-0.65031016,4.5353065
0.0,1.4487766,-0.61836576,1.1677055
0.0,4.4048285,-0.6700585,6.09589
0.0,0.38469335,-0.45548415,1.9964793
0.0,1.7329443,-0.42869616,1.3317559
0.0,3.4075541,-0.36509323,5.688436
0.0,3.8946953,-0.329108,4.479167
0.0,3.7578373,-0.26745966,-2.69504
0.0,5.6801915,-0.21084854,-2.2763462
0.0,1.3451421,-0.11505175,2.4437413
0.0,3.091092,-0.034861088,5.0401974
0.0,1.627183,0.016726851,3.497109
0.0,0.6886519,0.060477674,0.51213664
0.0,0.15363474,0.12643853,0.6145167
0.0,2.9199326,0.1913799,2.58043
0.0,3.4804468,0.23488998,1.3546513
0.0,3.0551805,0.25995463,-0.02870214
0.0,4.361574,0.31918502,-7.237218
0.0,3.1152968,0.38098484,-2.718384
0.0,1.7997246,0.37056208,-5.4516716
0.0,4.2197037,0.47333586,-6.232203
0.0,0.93952584,0.47363994,-1.9338148
0.0,0.26609796,0.47783574,-1.5327828
0.0,2.9290533,0.58848214,2.2255309
0.0,1.7233329,0.6050331,1.4848058
0.0,3.8511403,0.6952435,1.6407378
0.0,0.6692221,0.63558495,-1.0908306
0.0,3.1998801,0.727614,-4.9673395
0.0,2.70936,0.77112174,0.5749607
0.0,1.6751332,0.7466183,-1.0279574
0.0,1.4590424,0.73487103,-4.168273
0.0,2.8569522,0.83282554,-0.35204196
0.0,0.55202806,0.73606914,-3.2046955
0.0,4.166588,0.89158916,-6.5517087
0.0,0.66314036,0.7801086,-2.816974
0.0,1.5888991,0.8289759,-3.556428
0.0,3.5027204,0.91787523,-4.105784
0.0,0.7599323,0.84619546,1.1907785
0.0,3.9644558,0.98674643,3.200683
0.0,0.9028355,0.8055717,-0.45871267
0.0,4.9979687,0.94948936,-2.0522723
0.0,2.8529873,0.8332517,4.270427
0.0,1.2013924,0.75045604,-0.08165419
0.0,2.6139245,0.80702794,-0.4712947
0.0,4.7141447,0.88625765,5.8810253
0.0,3.0817256,0.7699516,5.616865
0.0,3.7445946,0.77103925,4.9964876
0.0,3.9443705,0.78408587,-1.0066093
0.0,2.138867,0.674702,1.3707664
0.0,2.449897,0.6974893,-0.17880559
0.0,3.1933703,0.7028475,4.9701943
0.0,0.9044733,0.63132846,2.5514715
0.0,2.4915977,0.6823876,0.78834957
0.0,4.007814,0.712044,1.6965622
0.0,3.029492,0.6375122,7.30015
0.0,0.6417901,0.5283258,3.9373813
0.0,1.3629024,0.53771186,4.1340876
0.0,5.0652194,0.6107793,8.389856
0.0,1.332595,0.51853156,4.2006855
0.0,0.6667634,0.50674963,5.7211523
0.0,4.4438457,0.594038,7.797812
0.0,1.5751715,0.5284436,5.973813
0.0,3.7726007,0.5897975,6.135975
0.0,3.2663794,0.58535004,4.511119
0.0,2.1248667,0.517218,2.6792455
0.0,1.4776496,0.4726596,0.8884279
0.0,0.7122619,0.4716584,0.95161694
0.0,2.760351,0.5167748,-1.4746313
0.0,1.5967302,0.50146556,1.2076359
0.0,1.2984059,0.4773785,2.7987943
0.0,1.878623,0.48982,2.8658493
0.0,0.29865503,0.4383298,0.86736107
0.0,0.9323208,0.46787465,1.8247869
0.0,1.1454322,0.4792133,0.5647604
0.0,2.117616,0.52566767,3.0023723
0.0,1.997366,0.56650054,1.5502772
0.0,1.3113317,0.5388354,4.7551312
0.0,2.049442,0.5847111,3.5821958
0.0,3.250554,0.68111444,5.760851
0.0,0.7432428,0.57827103,4.089476
0.0,0.5673444,0.5906759,2.5461268
0.0,1.8203986,0.6788981,3.0323722
0.0,1.2797601,0.69382644,2.4218357
0.0,1.2711182,0.72747034,2.07027
0.0,2.2553844,0.8052089,2.0170562
0.0,3.0460858,0.8671596,5.936887
0.0,2.787333,0.856153,5.556226
0.0,1.9249496,0.82664883,1.6580337
0.0,1.4301658,0.8022542,3.8962212
0.0,2.9180908,0.8970423,4.804537
0.0,3.5772529,0.9345038,4.129678
0.0,2.0151901,0.84645677,3.3342462
0.0,0.5962947,0.7502224,0.80691844
0.0,1.0704292,0.77248216,0.9651534
0.0,1.8586117,0.8282815,0.6351092
0.0,0.8001095,0.7565309,-1.7965013
0.0,1.2107296,0.76527655,-1.4974136
0.0,1.8785264,0.7972563,-0.58754635
0.0,0.51902395,0.6935783,-2.689777
0.0,0.48052672,0.6677676,-2.6406634
0.0,1.2643384,0.68501353,-2.968091
0.0,2.0376794,0.6828829,-4.801832
0.0,1.2148361,0.5958793,-4.1669235
0.0,2.7569273,0.6311493,-5.0754404
0.0,0.5180927,0.49378645,-3.2945592
0.0,2.2130783,0.51434124,-4.2310863
0.0,1.6642542,0.4384248,-1.264988
0.0,1.6637461,0.38185263,-3.8648772
0.0,1.8640255,0.34221843,-1.1420336
0.0,0.5663826,0.26748,-2.26907
0.0,0.22277844,0.21385491,-2.9652128
0.0,0.91350836,0.16555065,-2.5034401
0.0,1.7291431,0.09804034,-4.0968
0.0,0.6829358,0.052081585,-2.4575837
0.0,2.8868113,-0.023780346,-1.1295664
0.0,0.35170484,-0.063031554,-2.1798024
0.0,1.3956454,-0.1475428,-3.0429196
0.0,1.1707438,-0.21163285,-2.826262
0.0,1.2948077,-0.2839907,-2.259832
0.0,1.72157,-0.3523783,-1.7455919
0.0,0.5780655,-0.3542645,-2.2850103
0.0,1.7451588,-0.48197645,-4.73681
0.0,2.4593306,-0.5876675,-4.1959534
0.0,1.2875477,-0.58222264,-1.8634691
0.0,2.5784245,-0.7277627,-3.9262419
0.0,2.4547977,-0.7673572,-0.19729942
0.0,0.41837227,-0.67876285,-1.1853659
0.0,2.9989836,-0.96043766,-3.1876683
0.0,1.4336637,-0.88641465,-0.44591838
0.0,2.9823542,-1.0825033,-2.4632351
0.0,0.6574142,-0.9152988,-0.8372773
0.0,2.2760515,-1.1388901,-1.3812572
0.0,2.2304492,-1.1984601,1.9155726
0.0,0.7301336,-1.0642221,1.1166385
0.0,0.99996096,2.5331974e-06,-2.1322596
0.0,8.894895,-0.0816406,10.334397
0.0,8.749377,-0.022876382,8.426845
0.0,0.25091523,-0.009782255,-3.348156
0.0,1.945789,-0.082512796,-6.883706
0.0,11.398015,-0.19381559,-12.093731
