train/n_updates,train/critic_loss,train/ent_coef,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,time/episodes,train/actor_loss
22676,0.05192818492650986,0.004673247691243887,36,632,22777,72.18,11.461317379999999,0.0003,-0.7120442390441895,312,-6.28611946105957
22979,0.03406032174825668,0.004695660900324583,35,642,23080,72.58,11.690056350000003,0.0003,1.5463330745697021,316,-6.792984962463379
23283,0.03684644401073456,0.004777220543473959,35,651,23384,72.66,11.857900339999999,0.0003,-0.13121908903121948,320,-6.463411808013916
23527,0.03365226462483406,0.004782305099070072,35,658,23628,72.14,11.874096380000001,0.0003,0.2947850823402405,324,-6.821437835693359
23832,0.048879653215408325,0.004721764475107193,35,666,23933,72.23,12.07351983,0.0003,1.2461384534835815,328,-6.641531944274902
24138,0.04357156902551651,0.004620901774615049,35,675,24239,72.65,12.36504946,0.0003,0.995333731174469,332,-6.37946891784668
24444,0.07479913532733917,0.004606639500707388,35,683,24545,72.76,12.538670699999997,0.0003,1.0714870691299438,336,-6.508225917816162
24675,0.04803931713104248,0.004651463124901056,35,690,24776,72.11,12.54358577,0.0003,1.6638197898864746,340,-6.76383113861084
24977,0.03980813920497894,0.004653876647353172,35,698,25078,72.2,12.710769720000004,0.0003,-0.6609779596328735,344,-6.859808444976807
25278,0.06203821673989296,0.004646789748221636,35,707,25379,72.24,12.806637210000002,0.0003,0.44731682538986206,348,-6.770020484924316
25582,0.08848585188388824,0.00481096375733614,35,715,25683,72.61,13.036612480000004,0.0003,1.8550090789794922,352,-6.780904769897461
25884,0.03104359284043312,0.004905040375888348,35,724,25985,72.65,13.122362429999999,0.0003,0.9007129073143005,356,-6.7853007316589355
26125,0.027775881811976433,0.004909719806164503,35,731,26226,72.08,13.05837994,0.0003,0.8335275650024414,360,-7.24350643157959
26428,0.03777550533413887,0.00490559684112668,35,739,26529,72.12,13.150983989999997,0.0003,0.233231782913208,364,-7.153193950653076
26729,0.027318278327584267,0.004734274931252003,35,748,26830,72.56,13.365863419999997,0.0003,-0.5388413667678833,368,-7.266386985778809
27030,0.03303520381450653,0.0047173872590065,35,756,27131,72.6,13.443826989999998,0.0003,1.182106852531433,372,-7.022100448608398
27275,0.5416991710662842,0.004731356631964445,35,764,27376,72.1,13.460194449999996,0.0003,1.812950849533081,376,-7.264459609985352
27579,0.02372375875711441,0.004693619441241026,35,772,27680,72.15,13.508489230000002,0.0003,1.654261827468872,380,-7.612157821655273
27884,0.038518257439136505,0.004667181521654129,35,780,27985,72.18,13.51204171,0.0003,-1.4372228384017944,384,-7.0695414543151855
28189,0.4123884439468384,0.004696619231253862,35,789,28290,72.65,13.673204930000002,0.0003,0.4994945526123047,388,-7.419187545776367
28495,0.03927820175886154,0.004680995363742113,35,797,28596,72.71,13.72222839,0.0003,-0.06876209378242493,392,-7.278169631958008
28727,0.04244636371731758,0.004696211777627468,35,804,28828,72.04,13.68492305,0.0003,-0.11479741334915161,396,-7.343416213989258
29033,0.027278538793325424,0.004536974709481001,35,813,29134,72.1,13.699411809999999,0.0003,-0.9615468382835388,400,-7.580835819244385
29336,0.1271030306816101,0.004457315895706415,35,821,29437,72.62,13.8484603,0.0003,-1.3848631381988525,404,-7.294449806213379
29640,0.02649828977882862,0.004561867099255323,35,829,29741,72.66,13.913688360000002,0.0003,-0.40781962871551514,408,-7.811322212219238
29875,0.03179527819156647,0.00450386805459857,35,836,29976,71.99,13.799794729999999,0.0003,-0.893039882183075,412,-7.42861795425415
30176,0.030733704566955566,0.004530192818492651,35,845,30277,71.97,13.77505508,0.0003,0.035655438899993896,416,-7.431729793548584
30474,0.025478461757302284,0.004601206164807081,35,853,30575,71.91,13.661388700000002,0.0003,-1.9952876567840576,420,-7.666143894195557
30778,0.021913306787610054,0.004339242819696665,35,861,30879,72.51,13.779959110000004,0.0003,-0.06609529256820679,424,-7.279356002807617
