time/episodes,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/fps,time/total_timesteps,train/learning_rate,train/actor_loss,time/time_elapsed
80,31864,0.00300041027367115,0.025253504514694214,-3.8854311875,399.5625,0.1495330035686493,53,31965,0.0003,-6.617084503173828,597
84,33181,0.0026133081410080194,0.01279233954846859,-3.8924473928571435,396.2142857142857,-2.2938194274902344,53,33282,0.0003,-6.313599586486816,622
88,34382,0.0024077321868389845,0.010131046175956726,-3.7897170227272725,391.85227272727275,0.8661720752716064,53,34483,0.0003,-5.794999122619629,646
92,36459,0.002585920738056302,0.010863415896892548,-4.022892206521739,397.39130434782606,-1.6189601421356201,53,36560,0.0003,-5.28702449798584,685
96,37599,0.002914213575422764,0.026038359850645065,-3.9301787604166667,392.7083333333333,-0.23305252194404602,53,37700,0.0003,-4.841279029846191,707
100,38760,0.0030848688911646605,0.007869593799114227,-3.893937920000001,388.61,-1.7006618976593018,53,38861,0.0003,-4.695158004760742,730
104,40882,0.002745628822594881,0.06523405015468597,-3.3851103300000007,394.44,-0.03049415349960327,53,40983,0.0003,-4.261035919189453,769
108,43588,0.002529856050387025,0.00687946192920208,-2.9342108700000007,410.89,-0.748145341873169,53,43689,0.0003,-3.788020372390747,819
112,45399,0.002335720229893923,0.0062686847522854805,-2.7000950500000003,416.0,1.1792244911193848,53,45500,0.0003,-3.3697807788848877,853
116,49972,0.0019282286521047354,0.036105021834373474,-1.69522553,422.73,-2.1844680309295654,53,50073,0.0003,-2.7895660400390625,936
120,53199,0.0017156122485175729,0.004634800832718611,-0.17861174000000005,407.53,-0.16703510284423828,53,53300,0.0003,-2.4198520183563232,995
124,57843,0.0015562879852950573,0.006896588951349258,-0.0638315999999999,449.65,-0.12377160787582397,53,57944,0.0003,-2.120013475418091,1079
128,58944,0.0015011769719421864,0.004422759637236595,0.09042850000000016,456.58,-0.005720734596252441,53,59045,0.0003,-2.008678913116455,1101
132,59699,0.001500273821875453,0.015421941876411438,0.3694110200000001,456.86,0.759158194065094,53,59800,0.0003,-1.9657082557678223,1116
136,60732,0.0015725238481536508,0.0031889264937490225,0.84590873,452.33,1.7460147142410278,53,60833,0.0003,-1.8252320289611816,1137
140,61758,0.0016123311361297965,0.00760757178068161,0.8756521900000004,436.59,0.2925097942352295,53,61859,0.0003,-1.7116446495056152,1157
144,62569,0.0016974846366792917,0.004610453732311726,1.1084656800000001,408.8,-0.8296753168106079,53,62670,0.0003,-1.5693238973617554,1174
148,63599,0.0016833392437547445,0.003405278082937002,1.3417825700000003,410.77,-0.0018051564693450928,53,63700,0.0003,-1.570351004600525,1194
152,66199,0.0015774023486301303,0.00273567414842546,1.7943483500000001,430.96,0.19151830673217773,53,66300,0.0003,-1.5546208620071411,1242
156,69955,0.0014134951634332538,0.002766888588666916,2.8689079000000004,451.66,-0.10041017830371857,53,70056,0.0003,-1.5525202751159668,1310
160,70766,0.001536529278382659,0.003323064185678959,3.3389582200000008,444.67,0.5807191133499146,53,70867,0.0003,-1.4413697719573975,1327
164,71399,0.001678782980889082,0.01538428757339716,3.48237687,436.41,2.4527292251586914,53,71500,0.0003,-1.304628610610962,1340
168,72013,0.001677701948210597,0.0026058305520564318,3.5930077200000006,432.08,-0.40438544750213623,53,72114,0.0003,-1.4315590858459473,1353
172,72616,0.0017324499785900116,0.003369239391759038,3.72912776,425.82,-0.7082357406616211,53,72717,0.0003,-1.3761488199234009,1366
176,73175,0.0017985421000048518,0.008528843522071838,3.8174640100000006,422.08,0.2905007004737854,53,73276,0.0003,-1.408718466758728,1378
180,73772,0.0018398357788100839,0.0027314485050737858,3.9766604599999997,419.08,-0.3227250277996063,53,73873,0.0003,-1.2968871593475342,1391
