time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,train/ent_coef
770,47,36500,-0.49123650789260864,136299,0.0003,0.00010356717393733561,1.7431306500000003,0.17843705415725708,228,125.0,0.0014017958892509341
781,47,37000,-0.5159037113189697,136799,0.0003,8.681516192154959e-05,1.7464722499999998,-2.6693902015686035,232,125.0,0.0014067094307392836
793,47,37500,-0.4977603256702423,137299,0.0003,0.0001301561133004725,1.7485459200000006,-1.188697099685669,236,125.0,0.0013704918092116714
804,47,38000,-0.504361629486084,137799,0.0003,0.0013306153705343604,1.7533794200000004,1.8653240203857422,240,125.0,0.001401261892169714
815,47,38500,-0.5404905676841736,138299,0.0003,0.0007210522308014333,1.7579643200000001,2.536534309387207,244,125.0,0.001418867614120245
827,47,39000,-0.4981737434864044,138799,0.0003,0.0016909991391003132,1.7557754800000003,-0.5182373523712158,248,125.0,0.0014429622096940875
838,47,39500,-0.5244899988174438,139299,0.0003,0.00012598851753864437,1.7571329199999999,3.0826566219329834,252,125.0,0.0014596672262996435
850,47,40000,-0.507880449295044,139799,0.0003,0.00031222618417814374,1.7625092800000002,0.09780597686767578,256,125.0,0.0014769028639420867
861,47,40500,-0.5176133513450623,140299,0.0003,0.00014252006076276302,1.7715693699999997,0.3629075884819031,260,125.0,0.001509247813373804
872,46,41000,-0.5365709662437439,140799,0.0003,0.00010233653301838785,1.7750667999999996,-0.7676866054534912,264,125.0,0.0014782703947275877
884,46,41500,-0.5301254391670227,141299,0.0003,0.000134478832478635,1.77186307,0.8998653292655945,268,125.0,0.0015330136520788074
896,46,42000,-0.5377007722854614,141799,0.0003,0.002026299014687538,1.7756620299999997,-1.0660104751586914,272,125.0,0.001550175598822534
907,46,42500,-0.5317503809928894,142299,0.0003,0.00012608518591150641,1.7862591400000003,1.3883910179138184,276,125.0,0.0015461359871551394
918,46,42998,-0.5222575664520264,142797,0.0003,9.70646069617942e-05,1.7935521000000003,0.31699568033218384,280,124.98,0.001537656644359231
927,46,43384,-0.5167583227157593,143183,0.0003,0.0011371131986379623,1.7838033999999998,3.606262683868408,284,123.84,0.001548629254102707
939,46,43887,-0.5195753574371338,143686,0.0003,0.00013103739183861762,1.7892614199999999,1.7230814695358276,288,123.87,0.0015882034786045551
950,46,44396,-0.5166968107223511,144195,0.0003,0.00012363953283056617,1.7969726599999998,-2.4766907691955566,292,123.96,0.001597113092429936
960,46,44885,-0.5283905267715454,144684,0.0003,0.0001091041267500259,1.8002889400000002,0.15902972221374512,296,123.85,0.0016246901359409094
971,46,45365,-0.5203621983528137,145164,0.0003,8.793905726633966e-05,1.8155881500000004,-0.3602765202522278,300,123.65,0.001663870527409017
981,46,45766,-0.5124841332435608,145565,0.0003,0.00011453447950771078,1.8118441099999998,-1.444300651550293,304,122.66,0.0016591692110523582
993,46,46250,-0.5218678116798401,146049,0.0003,8.481265103910118e-05,1.8177754199999996,0.2061690092086792,308,122.5,0.0016937662148848176
1002,46,46628,-0.5297411680221558,146427,0.0003,0.0002004635607590899,1.8034901399999996,2.755870819091797,312,121.28,0.0017186786280944943
1014,46,47129,-0.5355461835861206,146928,0.0003,0.0009950788225978613,1.8085335300000003,2.631967067718506,316,121.29,0.0017161138821393251
1025,46,47617,-0.5438015460968018,147416,0.0003,9.953053086064756e-05,1.8144168299999999,-0.8391811847686768,320,121.17,0.0016740610590204597
1034,46,48000,-0.5460782647132874,147799,0.0003,0.000253955862717703,1.8073439,-0.1132752001285553,324,120.0,0.0016888135578483343
1046,46,48499,-0.5400400757789612,148298,0.0003,0.004568992182612419,1.8209456,-0.6168580651283264,328,119.99,0.0016993740573525429
1055,46,48865,-0.5476396083831787,148664,0.0003,0.00018144898058380932,1.8135619899999997,-0.6016513109207153,332,118.65,0.0017103486461564898
1064,46,49254,-0.5329499840736389,149053,0.0003,9.014436363941059e-05,1.8071261399999998,-0.4816773533821106,336,117.54,0.0017240903107449412
1075,46,49740,-0.537809431552887,149539,0.0003,8.091399649856612e-05,1.81134687,-0.8868851661682129,340,117.4,0.0017827554838731885
1085,46,50127,-0.5347812175750732,149926,0.0003,0.00014572066720575094,1.8060237199999998,2.3770904541015625,344,116.27,0.001812205882743001
1094,46,50500,-0.5514540076255798,150299,0.0003,7.641671254532412e-05,1.7958177200000003,2.0543243885040283,348,115.0,0.0018307857681065798
1106,46,50998,-0.5223954916000366,150797,0.0003,0.001847943291068077,1.80859639,1.052557349205017,352,114.98,0.0018223121296614408
1115,46,51366,-0.5384501814842224,151165,0.0003,0.0005920391413383186,1.7952121599999997,1.1777904033660889,356,113.66,0.0018166883382946253
1124,46,51744,-0.5380858182907104,151543,0.0003,0.00014629896031692624,1.7808660199999997,-0.23711544275283813,360,112.44,0.0018367834854871035
1134,45,52128,-0.5347155928611755,151927,0.0003,6.781404954381287e-05,1.77027862,-1.2629426717758179,364,111.28,0.0018208312103524804
1143,45,52500,-0.5364905595779419,152299,0.0003,0.000701568671502173,1.7639970299999996,-0.18794594705104828,368,110.0,0.0018527278443798423
1154,45,52994,-0.5660568475723267,152793,0.0003,8.790638821665198e-05,1.7803754999999994,2.0135021209716797,372,109.94,0.00184336316306144
1164,45,53369,-0.5418599843978882,153168,0.0003,0.00012592863640747964,1.76893836,-0.5764209628105164,376,108.69,0.0018672874430194497
1172,45,53733,-0.5317158102989197,153532,0.0003,0.0007417034357786179,1.75601922,-0.08038581162691116,380,107.35,0.0018659549532458186
1182,45,54116,-0.5699033737182617,153915,0.0003,0.0004594752099364996,1.7600076999999998,0.6086015701293945,384,107.32,0.0018810078036040068
1191,45,54500,-0.5440951585769653,154299,0.0003,0.00010034513252321631,1.7463911899999998,2.06007719039917,388,106.13,0.0018538845470175147
1202,45,54979,-0.5609796643257141,154778,0.0003,0.00015110860113054514,1.7550752599999995,0.2986257076263428,392,105.83,0.0018541807075962424
1211,45,55353,-0.551199197769165,155152,0.0003,0.0005358498310670257,1.7462238899999998,-2.2302944660186768,396,104.68,0.0018326103454455733
1221,45,55752,-0.5569878220558167,155551,0.0003,0.0017432591412216425,1.7307574099999998,-0.048243097960948944,400,103.87,0.0018348130397498608
1232,45,56239,-0.5550670027732849,156038,0.0003,0.0001123685942729935,1.75181981,1.6171376705169678,404,104.73,0.0018599339528009295
1241,45,56619,-0.5561124682426453,156418,0.0003,0.00013497672625817358,1.7441833699999998,-1.0308104753494263,408,103.69,0.001859244890511036
1250,45,57000,-0.5750373601913452,156799,0.0003,9.684392716735601e-05,1.7492678899999998,-0.5403664112091064,412,103.72,0.0018330736784264445
1262,45,57500,-0.5808181166648865,157299,0.0003,7.094977627275512e-05,1.75714366,1.4736568927764893,416,103.71,0.0018282575765624642
1273,45,57983,-0.5844696760177612,157782,0.0003,0.00012643454829230905,1.7635909599999997,0.5832110643386841,420,103.66,0.0018214270239695907
1283,45,58345,-0.5487772822380066,158144,0.0003,0.0001900878269225359,1.7671381400000001,1.2729108333587646,424,103.45,0.001837147050537169
1292,45,58733,-0.5895674824714661,158532,0.0003,0.00010510523134144023,1.7481538500000002,0.48286283016204834,428,102.34,0.0018140897154808044
1301,45,59126,-0.5613097548484802,158925,0.0003,8.610856457380578e-05,1.7489317,1.4954508543014526,432,102.61,0.0018195024458691478
1311,45,59500,-0.55948805809021,159299,0.0003,0.00025062463828362525,1.7533381700000001,-0.8228235244750977,436,102.46,0.0018480690196156502
1322,45,59971,-0.5698519945144653,159770,0.0003,6.771866173949093e-05,1.7599652799999999,0.8827031850814819,440,102.31,0.0018514763796702027
1330,45,60342,-0.5840339660644531,160141,0.0003,0.00017610886425245553,1.7598457600000001,0.7963443398475647,444,102.15,0.0018585465149953961
1340,45,60737,-0.5768802165985107,160536,0.0003,0.00010613605263642967,1.7595906599999998,-0.06281054019927979,448,102.37,0.0018569856183603406
