train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/episodes,rollout/ep_len_mean,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,train/n_updates,time/total_timesteps
2.1325535774230957,226.91260541999998,1196,0.0003,164,332.28,-21.82499885559082,0.06647467613220215,54,0.22032003104686737,64899,65000
1.712270736694336,229.97964940999995,1220,0.0003,168,325.86,-24.90960693359375,0.06772532314062119,54,0.0898635983467102,66199,66300
1.656359314918518,240.28247611999998,1244,0.0003,172,325.97,-28.548851013183594,0.0673215314745903,54,-0.2856009006500244,67499,67600
1.7706265449523926,251.20272092,1268,0.0003,176,325.0,-29.218563079833984,0.06819362193346024,54,0.0338883176445961,68799,68900
1.7531261444091797,259.98689770999994,1292,0.0003,180,325.0,-27.68717384338379,0.0703008845448494,54,0.7100231647491455,70099,70200
1.8420846462249756,270.16681908,1316,0.0003,184,325.0,-32.52532958984375,0.07260098308324814,54,-0.8390084505081177,71399,71500
2.6164488792419434,284.07841956,1340,0.0003,188,325.0,-32.78144073486328,0.07119143009185791,54,-0.3968297243118286,72699,72800
38.07131576538086,287.45880999999997,1364,0.0003,192,320.13,-34.25775909423828,0.0726589784026146,54,0.25837442278862,73999,74100
1.7857799530029297,297.33463457,1389,0.0003,196,321.35,-37.333465576171875,0.07200955599546432,54,-0.05157175660133362,75299,75400
1.5183017253875732,311.89401397999995,1413,0.0003,200,325.0,-34.823707580566406,0.07227180153131485,54,0.2615726590156555,76599,76700
2.06667423248291,321.45500378,1437,0.0003,204,325.0,-41.40386962890625,0.07373349368572235,54,0.274773508310318,77899,78000
2.859449863433838,327.42640754,1461,0.0003,208,325.0,-44.486541748046875,0.0737970694899559,54,0.43544507026672363,79199,79300
1.8226011991500854,335.91956442,1486,0.0003,212,325.0,-45.48609924316406,0.07414951920509338,54,0.7364697456359863,80499,80600
2.495460271835327,339.26358691999997,1510,0.0003,216,325.0,-45.83831024169922,0.07520706206560135,54,0.2360849529504776,81799,81900
2.144563674926758,344.14922091,1535,0.0003,220,325.0,-42.60407257080078,0.07544887065887451,54,-0.1923988163471222,83099,83200
2.464834213256836,348.22098694999994,1559,0.0003,224,325.0,-53.160465240478516,0.07605808228254318,54,1.2272039651870728,84399,84500
2.4069724082946777,347.8075712799999,1583,0.0003,228,325.0,-45.83271026611328,0.07558799535036087,54,-0.5582704544067383,85699,85800
8.5435209274292,346.99570163000004,1607,0.0003,232,325.0,-48.56053924560547,0.07666774094104767,54,0.5950512886047363,86999,87100
2.797844171524048,349.59551676999996,1631,0.0003,236,325.0,-54.13859558105469,0.07784519344568253,54,0.6423317193984985,88299,88400
2.042409896850586,350.0329419199999,1655,0.0003,240,324.31,-41.41218566894531,0.07860684394836426,54,0.5432326793670654,89530,89631
2.2740373611450195,346.2069377199999,1674,0.0003,244,321.09,-45.884033203125,0.07883540540933609,54,0.5592260360717773,90508,90609
15.453014373779297,344.1524694799999,1692,0.0003,248,317.76,-56.310035705566406,0.08370481431484222,54,0.21341031789779663,91475,91576
58.71974563598633,342.8120837500001,1712,0.0003,252,314.95,-44.955665588378906,0.0812029242515564,54,-0.09968525171279907,92494,92595
1.894981861114502,341.15632623000005,1731,0.0003,256,312.0,-56.8521842956543,0.08354003727436066,54,-0.7453141212463379,93499,93600
7.941357612609863,348.2860158799999,1755,0.0003,260,312.0,-57.408145904541016,0.08396311849355698,54,0.5785267949104309,94799,94900
2.273960590362549,357.57856835,1779,0.0003,264,312.0,-54.76752471923828,0.08263935893774033,54,0.5120812654495239,96099,96200
35.20827865600586,368.56775866,1804,0.0003,268,312.0,-53.94282150268555,0.08467014133930206,54,0.09463299065828323,97399,97500
2.3499715328216553,388.77848269000003,1836,0.0003,272,316.33,-56.79124069213867,0.08427853882312775,54,-0.15940417349338531,99132,99233
