time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,time/fps,train/n_updates,train/actor_loss,time/episodes,train/ent_coef_loss,time/time_elapsed
18857,314.28333333333336,0.011636883951723576,20.002849233333333,0.10839220881462097,0.0003,51,118656,-8.484434127807617,60,-1.0754526853561401,362
20800,325.0,0.012247441336512566,21.75693840625,0.0830860584974289,0.0003,52,120599,-9.500609397888184,64,0.6172022223472595,399
22876,336.4117647058824,0.012911048717796803,26.181671838235292,0.09259666502475739,0.0003,52,122675,-9.422499656677246,68,-0.39769673347473145,438
24386,338.69444444444446,0.013872606679797173,26.912975458333335,0.1426471471786499,0.0003,52,124185,-10.870498657226562,72,-0.5944759249687195,467
25449,334.85526315789474,0.014740205369889736,27.56597738157895,0.12554508447647095,0.0003,52,125248,-10.21664810180664,76,-1.2811199426651,488
27300,341.25,0.015046318992972374,30.9615413,0.15479080379009247,0.0003,52,127099,-12.814126968383789,80,0.12479223310947418,524
29445,350.5357142857143,0.014830581843852997,33.997434333333324,0.12905046343803406,0.0003,51,129244,-13.555256843566895,84,0.5910119414329529,567
30225,343.46590909090907,0.01450725831091404,32.63201828409091,0.14306312799453735,0.0003,51,130024,-12.46170425415039,88,0.7612799406051636,583
31200,339.1304347826087,0.013839973136782646,31.804989576086957,0.0991232693195343,0.0003,51,130999,-12.207181930541992,92,0.44919872283935547,603
31986,333.1875,0.013986064121127129,30.753849885416667,0.16810202598571777,0.0003,51,131785,-12.490250587463379,96,-0.7987399101257324,619
33800,338.0,0.014142002910375595,30.714448739999995,0.22410613298416138,0.0003,51,133599,-10.997964859008789,100,-0.6134083867073059,654
35594,342.94,0.015168414451181889,32.91356479,0.16245314478874207,0.0003,51,135393,-13.031478881835938,104,0.25006163120269775,688
37700,356.54,0.016658181324601173,38.500622629999995,0.19339431822299957,0.0003,51,137499,-13.214619636535645,108,-0.6579341888427734,728
39365,367.65,0.017178446054458618,42.664111860000006,0.2092166393995285,0.0003,51,139164,-14.27539348602295,112,0.23274759948253632,761
41329,382.81,0.017258118838071823,47.552058099999996,0.22698655724525452,0.0003,51,141128,-14.18139362335205,116,-0.7277216911315918,799
43512,389.84,0.017026346176862717,51.9191436,0.18254631757736206,0.0003,51,143311,-15.392839431762695,120,0.20205703377723694,844
45500,390.0,0.017313474789261818,54.72203243,0.2716321051120758,0.0003,51,145299,-15.459596633911133,124,0.5760862827301025,882
48100,390.0,0.01782282069325447,59.36802069,0.8669286966323853,0.0003,51,147899,-16.107330322265625,128,-0.8584431409835815,932
49836,384.87,0.016725610941648483,61.78905288,0.20205415785312653,0.0003,51,149635,-17.894315719604492,132,0.888278067111969,966
52000,399.21,0.016466651111841202,66.85968165999999,0.24323303997516632,0.0003,51,151799,-17.181148529052734,136,1.2314453125,1008
54071,410.79,0.016787439584732056,70.49245316000001,0.213407963514328,0.0003,51,153870,-17.70994758605957,140,-1.181509017944336,1047
55691,416.36,0.017199411988258362,73.14149158000001,0.19153928756713867,0.0003,51,155490,-18.30591583251953,144,0.16480642557144165,1079
57200,423.76,0.01750890165567398,75.74803614000001,0.20432132482528687,0.0003,51,156999,-18.940824508666992,148,0.39392727613449097,1114
58858,432.58,0.017475904896855354,79.48518144999998,0.18181341886520386,0.0003,51,158657,-19.873563766479492,152,0.4481579065322876,1148
60534,436.34,0.016456831246614456,82.97757824,0.5132521390914917,0.0003,51,160333,-18.348182678222656,156,0.3313010334968567,1181
63027,441.7,0.016547849401831627,89.60850193,7.118412971496582,0.0003,51,162826,-17.297706604003906,160,-0.046317219734191895,1229
64890,440.9,0.01702314056456089,92.71394759000003,0.2480953484773636,0.0003,51,164689,-18.071712493896484,164,-0.5147464275360107,1266
66300,434.24,0.017492488026618958,92.63795204999998,0.19166287779808044,0.0003,50,166099,-18.778831481933594,168,0.1926060914993286,1301
68196,438.1,0.018698478117585182,97.67315978999999,0.21828922629356384,0.0003,50,167995,-19.306156158447266,172,0.4074430763721466,1344
70030,445.81,0.018440252169966698,102.68302652999999,0.16401846706867218,0.0003,50,169829,-19.40057373046875,176,-1.4289981126785278,1388
71500,442.0,0.018622031435370445,103.97683751999999,0.3518306016921997,0.0003,50,171299,-19.780336380004883,180,0.736600935459137,1422
73329,438.84,0.018912088125944138,107.36686617000001,0.20364679396152496,0.0003,50,173128,-18.148298263549805,184,0.13347074389457703,1461
75272,450.47,0.019709311425685883,113.90898231999999,3.5302734375,0.0003,50,175071,-19.68868064880371,188,-0.25264257192611694,1501
76700,455.0,0.01964692957699299,118.12361989000001,0.2584957480430603,0.0003,50,176499,-19.20425796508789,192,2.0608232021331787,1530
79196,472.1,0.01862618327140808,129.02466085999998,0.15358611941337585,0.0003,50,178995,-21.134254455566406,196,-0.1991133987903595,1578
80600,468.0,0.01821998693048954,134.27147930000004,0.16946469247341156,0.0003,50,180399,-21.68410873413086,200,0.1305193305015564,1606
82145,465.51,0.017350317910313606,139.09556961,0.1776287853717804,0.0003,50,181944,-21.106449127197266,204,0.7187378406524658,1637
83373,456.73,0.016291368752717972,135.87794504,0.18600448966026306,0.0003,50,183172,-20.452739715576172,208,0.6150809526443481,1662
84440,450.75,0.01664765179157257,133.01311970999998,0.5379489064216614,0.0003,50,184239,-21.441242218017578,212,-0.2567332088947296,1685
85800,444.71,0.016856856644153595,131.66824746999998,0.366804301738739,0.0003,50,185599,-21.362106323242188,216,0.8083354234695435,1712
87564,440.52,0.01739465445280075,131.89062338,0.746242344379425,0.0003,50,187363,-22.116146087646484,220,0.12342564761638641,1747
88922,434.22,0.017070408910512924,131.08950588999997,0.25405335426330566,0.0003,50,188721,-22.36618423461914,224,0.1346193552017212,1774
90874,427.74,0.01708199456334114,129.70844959,0.6802624464035034,0.0003,50,190673,-21.152061462402344,228,-0.9622122049331665,1812
92300,424.64,0.016888057813048363,127.18943467,0.8510318994522095,0.0003,50,192099,-21.153024673461914,232,-0.45222586393356323,1840
94169,421.69,0.01670435443520546,128.11731264,1.7054123878479004,0.0003,50,193968,-23.488269805908203,236,0.34052252769470215,1876
96200,421.29,0.01690838672220707,132.23593022999998,0.26212918758392334,0.0003,50,195999,-22.64018440246582,240,0.820340633392334,1916
98174,424.83,0.017588110640645027,137.25213163999996,0.13743838667869568,0.0003,50,197973,-23.02522087097168,244,0.4766676127910614,1955
